,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Neural Network (MLP)
1291,0,4,0,4,4,0,4,4,4,3,4,4,0,1
1344,0,4,1,4,5,1,4,4,5,2,4,4,1,0
1367,0,2,0,2,3,0,1,5,2,2,4,1,1,0
1443,0,4,0,4,1,0,4,4,4,2,4,4,1,0
1470,0,3,1,3,3,0,4,4,4,4,5,3,1,0
1475,0,4,1,4,3,1,5,4,5,5,5,2,1,0
1479,1,4,0,4,4,1,4,4,1,1,5,2,1,0
1535,0,5,0,4,1,0,5,5,4,1,5,5,1,0
1551,0,4,0,4,3,1,3,2,4,4,4,1,0,1
1558,0,5,0,3,3,0,5,5,2,4,5,4,0,1
1560,0,4,1,4,5,1,4,3,4,4,5,4,1,0
1573,0,4,1,4,5,0,5,4,4,4,3,2,0,1
1575,0,4,1,4,3,0,4,5,5,5,3,3,0,1
1580,0,2,0,2,3,1,3,2,2,2,1,4,1,0
1622,0,4,0,4,2,1,1,1,4,4,1,1,0,1
1636,0,4,0,4,3,1,4,3,4,4,1,3,1,0
1666,0,4,0,1,2,1,3,3,1,1,3,4,0,1
1683,0,4,0,5,2,0,4,4,1,1,4,4,0,1
1691,1,4,0,5,4,1,5,4,5,5,4,3,1,0
1709,1,4,0,4,5,1,4,5,1,1,5,5,1,0
1713,0,4,0,4,4,0,1,2,4,4,2,4,0,1
1737,0,4,0,4,4,1,4,4,3,2,4,4,1,0
1800,0,4,1,4,4,1,4,4,1,3,5,3,1,0
1804,0,4,1,4,5,0,5,4,5,5,4,3,0,1
1805,0,3,0,3,2,1,3,3,3,3,5,4,1,0
1809,0,4,1,4,4,0,4,4,4,4,4,2,0,1
1813,0,4,0,4,2,0,1,1,4,4,3,5,0,1
1837,0,4,1,4,4,1,1,5,5,5,4,2,0,1
1844,1,4,0,5,3,1,2,2,4,5,2,4,1,0
1867,1,4,0,4,3,1,4,3,2,2,4,3,1,0
1910,0,4,1,1,1,1,4,3,1,1,5,3,1,0
1917,1,4,0,5,3,0,5,5,4,3,5,4,1,0
1987,0,1,0,3,1,0,3,4,1,4,2,3,0,1
1993,0,4,1,4,3,0,4,4,3,3,3,4,0,1
1998,1,4,0,4,1,1,3,2,2,2,3,2,1,0
2024,0,4,1,4,2,1,2,3,3,3,3,4,1,0
2033,1,4,0,4,5,1,4,5,2,2,5,2,1,0
2062,0,4,1,4,3,0,5,5,3,4,4,5,0,1
2072,1,4,0,4,1,1,2,4,3,3,3,2,1,0
2094,0,4,0,4,4,1,1,2,4,4,4,2,0,1
2120,0,4,0,4,2,1,3,4,4,4,1,4,1,0
2129,0,3,1,3,5,0,4,5,2,2,3,4,1,0
2137,1,4,0,4,5,1,5,4,3,3,5,4,1,0
2151,0,4,1,4,1,1,2,2,4,4,5,1,1,0
2174,0,4,0,4,2,1,4,3,4,4,2,3,1,0
2190,1,4,0,4,3,1,4,4,3,3,5,4,1,0
2197,0,4,0,4,4,2,2,2,3,4,3,3,1,0
2201,0,4,1,3,3,0,3,3,2,1,3,4,1,0
2205,0,5,0,4,4,0,3,2,5,5,3,1,0,1
2209,1,4,0,5,3,1,2,3,5,3,2,4,1,0
2231,0,4,1,4,4,0,4,4,4,3,3,4,0,1
2253,0,4,0,4,1,1,2,2,4,4,2,5,0,1
2259,1,4,0,4,2,1,4,4,5,3,1,4,1,0
2309,0,4,1,4,4,0,5,5,4,4,3,3,0,1
2412,0,4,0,4,3,2,4,3,4,4,5,3,1,0
2422,1,4,0,4,4,1,4,4,4,4,3,3,1,0
2462,1,4,0,4,3,1,5,4,1,3,3,2,1,0
2488,0,4,0,4,3,1,3,2,4,4,3,5,0,1
2494,0,2,0,4,3,0,2,2,4,4,1,2,1,0
2506,1,4,0,4,5,1,4,4,3,3,5,2,1,0
2508,0,4,1,4,3,0,5,5,5,5,5,2,1,0
2509,0,4,1,4,3,1,4,5,2,2,4,5,0,1
2531,0,4,0,3,2,0,4,4,3,1,4,4,1,0
2644,0,3,0,3,2,1,4,4,3,3,5,4,1,0
2686,0,4,1,4,5,0,5,5,1,1,3,4,0,1
2695,1,4,1,4,3,1,4,4,4,4,5,3,0,1
2701,0,4,0,3,4,1,4,4,2,2,4,4,0,1
2702,1,4,0,5,4,1,3,3,5,5,3,4,1,0
2706,1,4,0,4,4,2,4,4,3,3,4,3,1,0
2719,0,5,0,4,3,0,3,4,5,5,4,4,0,1
2729,0,4,1,4,2,1,2,1,5,5,4,4,1,0
2733,1,4,0,4,1,1,3,2,2,2,2,1,1,0
2759,0,3,0,4,4,0,3,3,4,3,3,3,1,0
2773,0,4,1,4,3,0,5,5,5,5,3,3,0,1
2817,1,4,0,4,5,1,5,4,3,3,3,3,1,0
2823,1,4,0,4,3,1,3,3,4,4,1,1,1,0
2858,0,4,1,4,5,1,4,4,1,1,5,2,1,0
2876,1,4,0,4,4,1,5,5,4,4,4,5,1,0
2916,1,4,0,4,3,1,5,5,1,1,4,5,1,0
2948,0,4,0,4,2,0,4,2,4,4,1,5,0,1
2965,0,4,1,4,5,0,4,5,5,3,5,2,0,1
3005,0,4,1,4,1,1,3,1,1,3,5,2,1,0
3012,0,4,0,4,2,0,4,4,3,2,4,4,1,0
3026,0,2,0,2,2,0,4,4,2,2,4,4,0,1
3041,1,4,0,4,3,1,4,4,4,1,5,2,1,0
3049,0,3,0,4,4,0,2,2,4,1,2,2,1,0
3099,0,4,1,4,5,0,5,4,3,3,5,4,0,1
3136,1,4,0,4,1,1,2,4,3,3,5,2,1,0
3138,0,3,0,3,4,0,2,2,3,3,2,2,1,0
3142,0,3,0,3,3,2,1,2,3,3,4,3,1,0
3144,0,4,0,4,4,1,3,2,4,4,2,1,1,0
3157,0,2,0,2,1,1,3,3,2,2,4,4,1,0
3233,0,4,1,3,4,0,4,4,5,5,5,5,0,1
3257,0,4,0,3,2,2,4,4,5,5,4,4,1,0
3287,0,4,1,4,3,0,4,4,3,4,3,2,1,0
3302,0,4,1,4,4,1,4,3,1,2,1,3,1,0
3322,1,4,0,4,4,1,3,3,5,5,2,3,1,0
3330,1,4,0,4,4,1,4,5,3,3,3,5,1,0
3333,1,4,0,3,3,2,4,4,4,3,4,4,1,0
3337,1,4,0,4,5,1,4,4,4,2,5,5,1,0
3354,1,4,0,4,5,1,5,4,3,1,5,4,1,0
3369,1,4,0,4,2,1,4,3,3,3,4,2,1,0
3375,1,4,0,4,3,1,5,5,4,1,5,4,1,0
3418,0,5,0,4,2,1,4,3,5,5,4,1,0,1
3441,0,4,1,4,1,0,1,2,3,3,4,1,1,0
3471,1,4,0,0,4,1,4,4,3,3,3,5,1,0
3490,0,4,0,4,4,1,3,3,4,4,4,2,1,0
3496,1,4,0,4,3,1,5,5,3,3,4,4,1,0
3498,0,4,0,4,4,1,1,3,4,4,3,4,0,1
3543,0,4,1,3,5,1,4,4,2,2,4,5,1,0
3554,0,4,1,4,4,1,5,5,1,2,3,3,0,1
3592,1,4,0,4,5,1,5,5,5,5,4,4,1,0
3603,0,4,0,4,3,0,4,4,4,4,3,3,1,0
3651,0,4,0,4,2,0,2,1,4,4,1,1,0,1
3652,0,2,0,3,1,0,1,3,3,3,1,1,1,0
3654,0,4,0,4,3,0,4,4,3,4,4,4,1,0
3691,0,4,1,4,5,0,4,5,5,4,4,4,0,1
3722,0,2,0,2,2,1,3,4,2,2,4,1,1,0
3741,1,4,0,4,3,1,5,5,2,2,4,4,1,0
3780,0,4,1,4,1,0,5,4,4,4,1,5,1,0
3800,0,4,1,4,2,1,2,4,1,1,1,4,1,0
3819,0,4,0,4,3,2,4,4,3,1,4,4,1,0
3872,0,4,0,3,1,1,5,5,2,3,5,4,1,0
3906,0,4,1,4,4,1,5,5,3,3,4,3,0,1
3918,0,2,1,2,5,0,5,5,4,4,3,2,1,0
3934,0,4,1,4,1,1,5,5,2,5,5,2,0,1
3944,0,3,0,4,2,1,4,4,3,3,2,1,1,0
3951,0,4,0,4,4,1,4,4,4,4,5,3,0,1
3967,0,4,0,2,3,1,4,4,2,1,4,4,0,1
3978,0,3,0,3,4,1,3,2,3,3,4,2,1,0
3982,1,4,0,4,2,1,3,4,3,3,4,4,1,0
3992,0,4,1,4,3,1,4,4,2,2,4,5,1,0
3996,0,4,1,4,4,0,5,5,3,3,5,4,0,1
4066,0,2,0,1,2,0,2,2,2,3,2,2,1,0
4076,1,4,0,5,5,1,2,2,4,5,2,4,1,0
4082,0,4,1,5,4,1,4,4,1,1,4,2,1,0
4131,1,4,0,4,5,0,5,4,4,4,5,5,1,0
4184,1,4,0,4,3,1,4,3,4,4,3,1,1,0
4239,1,4,0,2,5,0,5,5,4,4,3,5,0,1
4324,1,4,0,4,4,1,4,3,1,1,5,2,1,0
4336,0,4,1,4,5,1,5,5,2,4,5,4,0,1
4337,0,3,0,3,2,2,2,4,3,3,2,3,1,0
4375,1,4,0,2,4,1,5,2,3,3,3,1,1,0
4417,0,2,0,2,4,1,4,4,1,1,5,1,1,0
4435,0,3,0,3,4,1,4,4,3,3,3,2,1,0
4594,1,4,0,4,3,2,4,4,3,3,4,4,1,0
4600,0,4,1,4,3,1,2,3,2,2,1,5,1,0
4620,1,4,0,4,5,1,4,5,3,3,1,4,1,0
4624,0,4,1,4,3,1,5,4,2,2,4,2,1,0
4654,0,4,1,3,5,1,1,4,5,5,5,5,0,1
4666,0,4,1,5,3,1,3,3,1,1,1,3,1,0
4711,0,2,0,2,2,2,4,1,2,2,4,4,1,0
4804,1,4,0,0,3,2,4,4,2,1,2,1,1,0
4812,0,4,1,4,4,0,5,5,1,1,3,5,0,1
4884,0,4,0,4,1,1,2,2,4,4,2,1,1,0
4919,1,4,0,4,3,1,5,4,2,2,3,2,1,0
4937,0,2,0,3,3,0,3,3,4,3,3,3,1,0
4969,0,4,1,2,2,1,3,5,2,2,3,4,0,1
4976,1,4,0,3,2,1,2,2,3,1,2,4,1,0
4989,0,4,0,4,1,0,2,1,4,4,2,3,0,1
5013,0,3,0,3,3,2,2,2,3,3,2,3,1,0
5042,0,4,1,4,3,1,4,3,1,1,3,4,1,0
5103,0,4,1,2,2,0,5,4,2,2,3,3,0,1
5149,0,4,0,4,3,1,2,2,4,4,4,1,0,1
5158,0,4,1,4,5,0,5,4,5,5,5,2,1,0
5223,0,4,0,4,2,0,3,3,3,1,3,4,1,0
5229,0,3,0,2,2,0,4,4,2,2,2,4,1,0
5231,1,4,0,4,4,0,3,3,4,3,3,4,0,1
5242,1,4,0,4,5,1,5,5,3,3,5,5,1,0
5298,1,4,0,4,4,1,4,5,5,5,4,5,1,0
5362,0,3,0,3,3,1,4,3,3,3,1,1,1,0
5378,0,4,1,4,3,1,1,4,4,4,4,2,1,0
5387,0,4,0,4,1,2,4,4,5,5,2,2,0,1
5407,0,4,0,2,3,0,3,4,2,2,2,2,1,0
5439,0,2,0,2,4,1,1,2,2,2,2,5,1,0
5502,0,4,1,4,3,1,2,1,5,5,1,5,1,0
5511,0,4,0,4,4,0,2,4,4,4,2,3,0,1
5540,0,4,0,4,4,1,4,1,4,4,5,1,0,1
5578,1,4,0,4,5,1,4,4,2,2,4,4,1,0
5600,0,4,0,3,2,1,4,4,3,2,4,4,1,0
5616,0,1,0,4,2,0,3,4,1,4,3,4,0,1
5644,0,4,1,4,4,2,3,3,2,2,1,1,1,0
5671,0,4,1,4,2,1,3,2,4,4,2,1,1,0
5695,0,4,0,4,3,0,4,4,4,4,4,4,0,1
5771,0,4,1,5,5,1,3,4,5,5,5,5,1,0
5796,0,4,1,4,1,1,4,1,4,4,5,3,1,0
5813,0,4,1,4,3,1,5,1,5,2,3,3,1,0
5832,0,4,1,4,3,1,3,1,1,1,1,4,1,0
5836,0,4,0,4,4,2,4,4,4,1,4,4,1,0
5843,0,4,1,4,3,1,5,4,2,2,5,1,0,1
5897,0,4,1,4,4,1,5,2,4,4,2,2,0,1
5918,1,4,0,4,5,1,4,4,5,5,4,4,1,0
5962,1,4,0,4,3,1,5,4,5,3,5,5,1,0
5970,0,4,0,3,3,0,4,4,3,3,4,4,1,0
5972,0,4,1,3,4,0,1,1,4,4,1,4,0,1
5995,0,4,1,4,5,0,4,5,5,5,5,2,0,1
6017,0,4,1,4,5,1,5,4,5,5,4,3,0,1
6026,0,5,0,4,3,1,4,4,5,5,3,4,0,1
6066,1,4,0,4,4,1,4,5,1,1,5,3,1,0
6099,0,1,0,3,3,0,2,2,3,1,2,2,1,0
6155,0,4,1,4,4,1,5,4,3,3,4,5,1,0
6165,0,4,1,4,1,1,2,1,1,1,5,5,1,0
6175,0,4,1,4,2,1,1,5,4,4,1,4,0,1
6188,0,4,1,4,3,0,5,4,1,1,5,4,1,0
6190,0,4,1,4,3,0,5,4,3,1,3,5,0,1
6216,0,4,1,4,4,0,4,5,2,2,4,2,1,0
6230,1,4,0,4,5,1,4,4,2,2,4,5,1,0
6256,0,3,0,3,1,2,3,3,1,5,3,3,1,0
6266,1,4,0,4,3,1,4,4,3,3,3,3,1,0
6333,0,1,0,1,1,0,4,3,3,1,4,4,1,0
6367,0,4,0,3,3,0,4,4,3,3,4,3,1,0
6375,0,4,1,4,4,0,5,4,1,1,4,5,0,1
6386,0,4,1,4,3,1,4,1,5,5,4,4,1,0
6406,0,4,0,4,4,1,1,3,4,4,5,4,0,1
6430,1,4,0,4,3,1,4,2,1,1,2,3,1,0
6442,1,4,0,4,5,1,4,5,2,2,4,3,1,0
6499,0,4,0,4,4,1,4,3,4,4,4,2,1,0
6512,1,4,0,4,2,1,4,2,4,4,3,5,1,0
6540,1,4,0,5,4,1,4,4,4,4,4,3,1,0
6546,0,2,1,2,5,0,4,5,1,1,5,4,1,0
6550,0,4,1,4,1,0,2,1,3,3,5,2,1,0
6575,0,5,0,1,4,0,5,5,1,3,5,4,0,1
6579,1,4,0,4,4,1,5,4,3,3,3,2,1,0
6580,0,4,1,4,3,1,3,5,4,4,4,2,0,1
6584,0,3,0,4,1,0,4,4,3,3,4,5,0,1
6609,0,4,1,4,4,0,4,3,4,4,4,5,0,1
6633,0,4,1,5,3,0,4,4,1,1,3,2,1,0
6678,0,4,1,5,5,1,1,2,5,5,4,2,0,1
6684,0,4,1,5,5,1,5,4,3,3,4,4,1,0
6701,0,4,1,5,4,0,4,4,3,3,2,2,0,1
6704,0,4,0,4,1,1,4,4,4,4,3,4,1,0
6705,1,4,0,3,1,1,3,3,3,2,3,2,1,0
6774,0,2,0,2,4,1,4,2,2,2,5,1,1,0
6775,0,4,0,2,2,0,4,4,1,3,4,4,1,0
6779,0,4,0,4,3,0,4,4,4,4,4,4,0,1
6811,0,4,1,4,5,0,4,5,5,5,3,5,0,1
6843,0,4,1,1,1,1,3,4,1,1,4,4,1,0
6864,1,4,0,5,5,1,4,4,4,3,4,4,1,0
6885,0,4,0,4,1,2,3,4,4,4,3,4,1,0
6898,0,2,0,2,3,1,4,3,3,3,2,1,1,0
6924,0,4,0,4,3,0,4,4,4,4,3,2,1,0
6937,0,4,0,4,3,1,4,4,4,4,3,1,1,0
6977,0,4,1,4,4,1,5,4,2,2,3,2,1,0
6987,0,2,0,1,4,0,4,4,2,2,4,4,0,1
7027,1,4,0,4,3,1,4,5,2,2,5,2,1,0
7042,0,4,0,1,4,2,4,4,2,2,4,4,1,0
7085,1,4,0,4,2,2,4,4,4,3,4,4,1,0
7149,0,2,0,3,3,1,2,5,2,2,4,4,1,0
7163,1,4,0,4,5,1,4,4,4,4,3,2,1,0
7171,0,1,0,2,1,0,2,2,2,2,5,3,1,0
7181,0,4,1,4,3,1,4,4,1,1,4,5,1,0
7224,1,4,0,4,2,1,1,4,3,3,2,1,1,0
7232,0,4,1,4,4,0,4,5,4,2,5,4,0,1
7243,0,2,0,2,2,0,5,3,2,2,1,3,0,1
7251,0,0,0,1,2,1,4,4,4,0,4,3,0,1
7343,0,3,0,3,4,0,3,4,3,3,2,5,1,0
7346,0,4,1,4,5,0,4,4,1,1,3,3,0,1
7402,0,5,0,1,3,0,5,5,3,4,5,4,0,1
7418,0,4,0,4,1,0,4,4,4,4,4,4,1,0
7436,0,2,0,2,4,1,3,4,2,2,5,5,1,0
7442,1,4,0,4,2,1,5,1,2,2,3,5,1,0
7443,1,4,0,4,1,1,4,3,4,4,3,5,1,0
7453,0,4,1,4,4,0,4,5,4,4,3,3,0,1
7456,0,4,1,4,5,1,2,4,4,4,3,3,1,0
7532,0,3,0,3,2,1,3,3,2,3,3,3,1,0
7547,0,4,0,4,3,0,2,3,3,3,3,3,0,1
7601,0,3,1,3,4,0,4,4,5,5,3,5,1,0
7624,1,4,0,5,4,1,3,3,5,3,3,4,1,0
7659,0,4,1,4,4,1,1,1,2,5,2,4,0,1
7710,1,4,0,4,5,1,1,2,3,3,1,3,1,0
7727,0,4,1,4,5,0,5,4,1,1,5,4,1,0
7732,0,4,0,4,3,1,4,4,4,4,3,1,1,0
7739,1,4,0,3,5,1,5,4,3,3,3,2,1,0
7782,0,4,1,4,3,0,4,4,2,5,5,3,0,1
7795,0,4,1,4,3,0,4,5,3,4,5,4,0,1
7800,1,4,0,3,4,1,3,3,3,3,3,5,1,0
7808,0,4,0,4,4,2,2,2,3,3,1,5,0,1
7810,0,4,1,4,5,0,4,5,3,3,4,3,0,1
7819,0,4,1,4,3,0,1,1,3,3,4,1,0,1
7820,0,3,0,3,2,1,2,4,3,3,3,1,1,0
7826,0,4,0,4,4,0,2,1,4,4,4,3,0,1
7828,1,4,0,4,3,1,4,5,2,2,4,2,1,0
7839,0,4,0,4,2,1,4,4,3,4,3,4,1,0
7872,1,4,0,4,5,1,4,5,1,1,4,4,1,0
7884,1,4,0,4,4,1,5,4,1,1,5,2,1,0
7951,0,4,1,4,4,0,4,5,1,1,3,4,0,1
7982,1,4,0,4,4,0,2,4,4,2,2,4,1,0
7988,0,4,1,4,4,1,4,4,2,2,4,3,1,0
8063,0,4,0,4,1,2,4,3,4,4,3,2,1,0
8070,1,4,0,4,4,1,5,4,4,4,4,3,1,0
8095,0,4,1,4,5,1,5,5,3,3,3,4,0,1
8110,0,4,0,3,2,0,4,4,3,1,4,5,1,0
8124,0,4,0,4,4,0,4,4,4,4,4,4,0,1
8125,0,4,1,4,4,1,4,4,5,5,4,4,0,1
8151,1,4,0,4,4,1,2,2,2,2,2,2,1,0
8154,0,4,1,4,4,1,4,4,1,1,5,3,1,0
8177,1,4,0,2,5,1,4,5,1,1,2,3,1,0
8183,0,3,0,4,2,0,1,3,4,4,1,1,0,1
8211,0,3,0,4,4,1,3,3,3,3,3,3,1,0
8216,0,2,0,2,3,2,2,2,1,1,4,2,1,0
8220,1,4,0,4,5,1,2,1,4,4,1,2,0,1
8227,0,4,1,4,4,1,4,4,5,5,4,4,0,1
8260,1,4,0,4,1,1,5,4,2,2,4,3,1,0
8267,0,3,1,3,1,0,5,1,4,4,1,2,1,0
8301,1,4,0,3,1,1,4,4,3,3,2,1,1,0
8317,0,4,0,3,1,0,4,4,4,4,4,4,1,0
8326,0,4,0,4,1,1,3,4,4,4,3,4,1,0
8337,0,4,0,4,2,2,2,2,4,4,3,1,1,0
8373,1,4,1,4,3,1,3,3,4,4,4,2,0,1
8377,1,4,0,4,1,1,5,3,2,2,5,3,1,0
8402,1,4,0,3,2,1,4,4,3,3,2,4,0,1
8427,1,4,0,4,4,1,5,4,5,5,4,5,1,0
8438,0,1,0,1,4,0,3,3,4,4,3,2,0,1
8454,0,4,1,4,3,1,4,4,1,1,3,4,1,0
8464,0,4,0,4,4,0,3,4,4,4,2,4,1,0
8484,0,4,1,4,3,0,4,4,2,4,4,3,1,0
8489,0,3,0,3,3,1,4,3,3,3,3,2,1,0
8490,0,4,0,4,2,0,4,3,4,4,3,5,1,0
8493,0,4,1,4,1,1,3,3,3,3,3,1,1,0
8532,0,4,1,5,4,1,4,5,4,4,5,5,1,0
8572,0,4,1,4,3,1,2,1,3,3,4,4,1,0
8580,1,4,0,4,2,1,3,4,4,4,1,3,1,0
8607,0,4,0,4,1,1,4,4,4,4,2,2,1,0
8624,1,4,0,4,3,0,3,3,5,5,3,4,0,1
8664,0,4,1,4,3,0,5,5,5,5,3,5,0,1
8725,1,4,0,5,3,1,1,1,4,4,1,4,1,0
8735,0,4,1,4,3,0,5,4,4,4,3,3,0,1
8754,0,4,0,3,3,0,4,4,4,2,4,4,1,0
8890,1,4,0,4,4,1,4,4,4,4,1,1,1,0
8912,0,4,0,4,4,1,1,2,4,4,1,5,0,1
8955,0,4,1,4,3,0,4,4,5,5,5,3,0,1
8980,0,4,1,4,1,1,3,4,4,2,4,2,1,0
8984,1,4,0,4,5,1,4,1,1,1,5,2,1,0
8994,0,2,1,2,3,0,5,4,2,2,5,4,1,0
8997,0,3,1,3,3,0,4,4,3,3,3,4,1,0
9001,0,4,0,4,2,1,3,4,4,4,4,5,1,0
9046,0,4,0,4,2,2,4,4,4,4,1,5,1,0
9053,0,3,0,3,3,2,3,2,3,3,2,4,1,0
9059,0,4,0,4,4,0,3,2,4,4,2,3,0,1
9082,0,4,0,4,4,0,4,2,4,4,5,1,1,0
9097,0,3,1,3,4,1,5,4,1,1,4,5,1,0
9100,0,2,1,2,5,0,1,5,1,1,3,4,1,0
9150,1,4,0,2,5,1,3,3,2,5,3,4,1,0
9151,0,3,0,3,4,1,3,4,3,3,3,5,1,0
9170,0,4,1,3,4,1,4,5,4,4,4,2,0,1
9181,0,3,1,3,4,0,4,4,1,2,3,2,1,0
9184,0,2,0,4,3,1,2,2,4,4,2,2,1,0
9238,0,3,0,3,1,0,2,2,3,3,2,2,1,0
9244,1,4,0,2,4,1,4,5,4,4,4,4,1,0
9264,0,4,1,4,3,1,2,4,4,4,5,2,1,0
9265,1,4,0,4,5,0,3,3,4,5,3,4,0,1
9279,0,4,1,4,4,0,5,5,5,4,5,4,0,1
9316,1,4,0,4,3,1,2,2,4,4,2,1,1,0
9386,1,4,0,4,5,1,4,5,5,5,5,5,1,0
9390,0,3,1,3,5,0,4,5,5,5,4,3,1,0
9405,0,3,0,2,1,0,2,2,1,1,2,2,1,0
9408,0,4,1,4,1,1,3,4,3,3,4,3,1,0
9416,0,1,0,0,1,0,4,4,4,5,3,3,0,1
9419,1,4,0,5,4,1,2,2,4,5,2,4,1,0
9528,0,4,1,4,5,1,5,4,1,1,3,3,1,0
9529,0,4,0,4,1,2,2,1,4,4,3,5,0,1
9538,1,4,0,4,3,1,4,4,3,3,3,4,1,0
9564,0,4,0,4,1,0,4,4,4,5,4,4,1,0
9571,1,4,0,4,4,1,5,5,4,4,4,3,1,0
9621,1,4,0,2,4,1,2,2,4,4,1,3,1,0
9679,0,4,0,4,2,1,2,2,3,3,2,5,0,1
9685,0,4,0,3,3,1,4,4,2,2,4,4,1,0
9711,1,4,0,4,4,1,4,3,3,3,2,4,1,0
9748,0,1,0,0,4,0,3,4,3,3,4,5,0,1
9827,0,4,0,4,2,1,3,4,4,4,2,1,1,0
9833,1,4,0,4,4,1,4,5,4,4,4,5,1,0
9834,0,4,0,4,3,1,4,4,3,2,4,4,1,0
9846,0,4,1,4,5,0,4,5,5,5,4,3,0,1
9872,0,4,0,2,1,0,4,4,4,1,4,4,1,0
9912,0,4,1,4,2,1,3,4,2,2,3,4,1,0
9928,0,4,0,3,4,1,3,3,3,1,3,4,0,1
9932,0,2,0,2,1,2,2,2,1,4,2,2,1,0
9997,0,1,0,1,3,0,3,4,3,3,5,3,0,1
10050,1,4,0,4,1,1,3,3,3,2,5,5,1,0
10147,0,4,0,4,3,0,3,3,4,4,3,4,1,0
10160,0,3,1,3,2,1,4,4,5,5,2,4,1,0
10171,0,3,0,2,2,1,3,3,3,1,3,3,1,0
10181,1,4,0,4,3,1,4,4,3,4,3,3,1,0
10185,1,4,0,4,5,1,4,5,3,3,1,2,1,0
10186,0,4,1,4,5,1,1,2,5,5,2,3,0,1
10195,1,4,0,3,3,1,5,5,2,3,5,4,1,0
10197,1,4,0,5,4,1,5,5,3,3,3,4,1,0
10264,0,4,0,4,3,1,4,3,4,4,1,1,1,0
10284,0,4,0,4,3,0,4,4,3,3,4,3,1,0
