,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Naive Bayes (GaussianNB)
452,0,0,0,4,2,0,2,2,1,2,2,2,1,0
460,0,4,1,4,3,1,1,5,5,5,1,2,1,0
474,1,0,0,0,4,1,4,4,4,4,1,4,1,0
476,0,0,1,0,5,0,4,4,3,4,4,2,1,0
491,0,1,0,4,3,0,1,1,5,4,1,2,1,0
493,0,4,1,3,3,0,1,5,1,1,2,5,1,0
508,0,3,0,3,4,1,3,3,3,3,4,4,0,1
512,0,3,0,4,2,1,3,1,3,3,1,2,1,0
526,0,4,0,1,2,0,4,4,2,2,4,4,1,0
534,0,4,0,4,1,1,3,3,3,4,3,4,0,1
535,0,4,0,4,1,2,4,4,4,4,2,2,1,0
537,0,3,0,4,4,0,3,3,3,2,3,3,0,1
538,0,4,0,3,1,0,4,4,4,2,4,3,0,1
540,1,4,0,2,1,1,3,3,2,2,1,5,1,0
544,0,2,1,2,3,0,5,4,5,5,5,5,0,1
560,1,5,0,5,5,1,5,5,2,2,4,2,1,0
567,1,1,0,3,5,0,5,5,5,5,5,5,0,1
572,0,3,0,2,2,0,4,4,1,1,4,4,1,0
594,0,4,0,4,4,0,4,4,3,4,4,4,0,1
598,1,4,0,4,3,2,3,3,4,4,1,3,1,0
599,0,5,1,4,5,1,5,5,1,1,5,4,1,0
618,1,0,0,2,4,1,3,3,1,3,3,0,1,0
637,0,3,0,3,3,0,3,3,4,3,3,3,0,1
640,0,4,1,4,3,0,5,5,5,5,4,2,0,1
653,0,0,0,0,2,1,5,3,5,5,1,2,1,0
657,0,4,0,1,2,2,4,4,4,4,4,4,1,0
663,0,0,1,0,3,0,4,5,1,1,3,4,1,0
664,0,3,0,3,3,1,1,4,3,3,1,4,1,0
666,1,4,0,4,5,1,5,5,5,5,4,5,0,1
668,0,4,0,4,4,2,4,3,4,4,4,5,0,1
673,0,0,0,0,3,1,5,5,4,4,4,1,1,0
678,0,4,0,2,1,0,4,4,1,3,4,4,1,0
697,1,5,0,5,1,1,4,3,1,1,1,5,1,0
698,1,0,0,4,3,1,1,1,3,1,1,0,1,0
713,1,0,0,0,2,1,4,4,2,2,4,2,1,0
721,0,0,1,0,5,0,4,3,3,3,4,2,1,0
725,0,4,0,4,2,2,4,3,4,4,4,3,0,1
737,0,5,1,5,2,2,2,2,1,1,1,3,1,0
761,1,5,0,3,2,1,2,2,4,3,2,5,1,0
767,0,4,0,4,3,1,1,4,4,4,2,2,1,0
771,0,1,0,1,2,0,3,3,1,5,3,5,1,0
772,1,5,0,5,3,1,5,5,4,5,3,1,1,0
778,0,3,0,4,1,0,3,3,3,3,3,3,0,1
789,0,4,0,3,3,0,4,4,3,1,4,4,0,1
805,1,0,0,0,4,1,5,3,4,4,5,5,1,0
811,0,1,0,2,4,0,5,5,2,2,4,2,1,0
817,0,0,1,0,1,1,3,5,4,4,2,3,1,0
820,0,0,1,1,5,0,4,4,4,4,3,2,1,0
825,0,4,0,1,3,1,4,4,2,4,4,4,1,0
834,0,3,0,3,3,0,3,3,4,4,3,3,0,1
836,0,4,1,4,4,0,5,5,2,2,4,5,0,1
841,1,0,0,4,4,1,2,2,5,4,2,0,1,0
854,1,4,0,5,3,1,5,2,4,5,5,4,1,0
859,0,4,0,4,4,0,4,4,4,4,4,4,0,1
869,0,3,0,4,1,0,3,3,4,4,3,3,0,1
870,0,4,0,3,2,0,3,4,3,2,3,3,0,1
878,0,0,1,0,4,1,5,5,2,2,4,2,1,0
884,1,0,0,3,1,0,4,4,3,2,4,0,1,0
887,0,1,0,4,4,0,1,2,4,4,1,4,1,0
891,0,4,0,3,2,0,4,4,4,1,4,4,0,1
901,0,4,0,3,3,0,4,4,4,4,4,4,0,1
906,0,3,0,4,2,1,4,4,3,3,4,4,0,1
915,1,4,0,4,3,1,4,4,5,5,5,3,1,0
922,0,0,0,0,4,2,5,4,2,2,5,5,1,0
923,0,4,0,4,1,1,2,1,3,4,3,1,1,0
926,0,2,0,2,3,1,4,5,2,2,4,4,1,0
931,1,0,0,0,5,1,5,5,1,1,4,4,1,0
933,0,3,0,4,3,0,3,3,4,2,3,2,0,1
938,0,4,1,4,2,0,3,3,5,5,3,5,0,1
949,0,0,1,0,5,0,4,5,4,4,4,3,1,0
951,0,4,0,4,1,0,2,4,3,4,2,2,0,1
960,0,0,0,0,1,2,2,3,4,4,1,2,1,0
971,0,4,0,3,1,0,4,4,3,1,4,3,0,1
981,1,5,0,4,3,2,2,2,4,1,2,5,1,0
982,0,2,1,2,4,0,4,5,4,4,5,5,0,1
992,0,3,0,3,3,0,4,3,3,3,3,5,0,1
1017,0,4,0,3,1,0,4,4,4,4,4,3,0,1
1031,1,4,0,4,3,1,5,4,5,5,2,1,1,0
1033,0,4,0,2,3,0,4,4,3,1,4,3,0,1
1043,0,4,0,4,4,0,4,4,3,1,4,4,0,1
1049,0,4,1,4,5,0,4,5,2,2,4,2,1,0
1052,0,2,0,2,4,1,5,5,2,2,2,2,1,0
1064,0,4,1,4,3,0,4,3,2,2,5,4,1,0
1067,1,4,0,4,4,2,4,4,2,2,3,4,1,0
1083,0,4,0,4,3,2,4,1,4,4,2,2,1,0
1099,1,4,0,5,4,1,4,4,3,3,1,1,1,0
1101,0,3,0,4,2,0,3,3,4,4,3,3,0,1
1117,0,4,1,4,5,0,4,4,1,1,4,3,1,0
1118,0,0,1,0,2,1,2,2,5,5,2,4,1,0
1128,1,5,0,5,3,1,4,3,1,1,4,2,1,0
1144,0,5,0,4,2,0,5,5,3,1,5,4,0,1
1150,0,3,0,4,4,0,3,3,4,2,3,3,0,1
1151,0,4,1,4,3,0,4,4,1,1,5,2,1,0
1157,0,4,1,4,5,1,4,5,4,4,3,4,0,1
1158,1,4,0,4,5,1,4,4,2,2,3,4,1,0
1176,1,4,0,4,1,1,2,4,2,5,5,4,1,0
1177,0,0,1,0,1,0,1,3,1,1,1,3,1,0
1188,0,4,0,4,1,1,1,3,4,4,1,3,1,0
1189,0,4,0,4,1,2,1,4,4,4,4,2,1,0
1192,0,0,1,0,3,1,4,5,5,5,3,3,1,0
1198,0,4,1,4,3,0,5,5,2,2,4,3,0,1
1207,0,4,0,4,1,2,4,3,4,4,5,2,1,0
1243,0,4,1,4,1,1,4,5,5,5,5,5,0,1
1267,0,4,0,4,4,1,4,3,4,4,4,3,0,1
1274,1,4,0,4,5,1,5,5,2,2,4,4,1,0
1276,0,4,0,4,2,2,4,2,3,4,1,1,1,0
1278,1,5,0,3,2,1,1,1,4,4,1,5,1,0
1285,0,2,0,4,1,0,5,1,4,4,2,1,1,0
1286,0,3,1,3,3,0,4,3,4,4,4,4,0,1
1291,0,4,0,4,4,0,4,4,4,3,4,4,0,1
1306,0,0,1,0,1,1,5,1,2,2,1,5,1,0
1308,0,3,0,1,5,0,4,4,3,1,4,4,1,0
1316,0,3,0,3,2,0,4,4,3,3,2,4,0,1
1329,0,5,0,4,5,2,3,3,1,1,3,5,1,0
1333,0,4,0,2,2,0,2,2,2,2,5,4,1,0
1338,0,5,0,1,1,1,3,3,4,1,3,5,1,0
1358,0,4,0,3,3,0,4,4,2,2,4,4,0,1
1366,0,3,0,3,2,0,4,3,4,1,4,4,0,1
1367,0,2,0,2,3,0,1,5,2,2,4,1,1,0
1377,1,5,0,5,4,2,4,4,4,3,4,5,1,0
1384,1,5,0,5,5,1,5,4,1,1,5,4,1,0
1386,0,3,1,3,4,0,4,4,4,4,5,2,0,1
1410,0,3,0,4,3,1,3,3,3,4,3,3,0,1
1422,0,4,0,4,2,2,2,4,4,4,5,3,1,0
1428,0,4,0,3,3,2,4,4,5,1,4,4,1,0
1439,0,1,0,4,4,0,2,2,4,3,2,2,1,0
1445,1,4,0,4,4,1,5,5,5,5,5,5,0,1
1446,0,4,0,4,1,0,4,3,4,4,3,2,0,1
1479,1,4,0,4,4,1,4,4,1,1,5,2,1,0
1484,0,5,1,0,5,0,5,4,2,2,5,5,1,0
1492,0,4,0,3,3,0,4,4,4,2,4,4,0,1
1496,0,4,0,4,5,1,3,2,4,4,2,1,1,0
1501,0,1,0,3,3,0,2,2,4,4,2,2,1,0
1507,0,4,0,4,4,2,4,1,4,4,2,4,1,0
1513,0,3,1,3,4,1,5,4,5,5,5,4,0,1
1519,1,0,0,0,3,1,5,1,3,3,3,3,1,0
1521,1,5,0,5,5,1,5,5,1,1,3,5,1,0
1529,0,0,0,0,1,1,3,1,5,5,4,2,1,0
1539,0,3,0,3,4,0,3,3,2,4,3,3,0,1
1551,0,4,0,4,3,1,3,2,4,4,4,1,0,1
1556,0,4,0,3,2,0,4,4,3,1,4,4,0,1
1558,0,5,0,3,3,0,5,5,2,4,5,4,0,1
1561,0,0,1,0,4,1,5,4,2,2,4,3,1,0
1573,0,4,1,4,5,0,5,4,4,4,3,2,0,1
1575,0,4,1,4,3,0,4,5,5,5,3,3,0,1
1580,0,2,0,2,3,1,3,2,2,2,1,4,1,0
1605,1,5,0,4,5,1,3,3,4,5,3,0,1,0
1609,0,3,0,4,4,0,3,3,4,1,3,3,0,1
1613,0,4,0,4,1,0,4,4,4,2,4,3,0,1
1626,0,3,1,3,4,0,5,5,4,4,3,3,0,1
1660,0,0,1,0,2,1,1,5,3,3,4,1,1,0
1662,0,2,1,2,4,0,5,4,4,4,5,5,0,1
1671,1,5,0,5,5,1,3,5,5,5,1,3,1,0
1675,1,5,0,5,5,1,4,4,3,3,4,4,1,0
1683,0,4,0,5,2,0,4,4,1,1,4,4,0,1
1684,0,5,0,2,5,0,2,2,1,4,2,2,1,0
1686,0,3,0,4,4,0,3,3,3,1,3,3,0,1
1690,0,4,1,4,4,1,3,2,4,4,5,5,0,1
1691,1,4,0,5,4,1,5,4,5,5,4,3,1,0
1698,0,5,1,5,1,2,1,4,4,4,1,1,1,0
1709,1,4,0,4,5,1,4,5,1,1,5,5,1,0
1713,0,4,0,4,4,0,1,2,4,4,2,4,0,1
1715,1,5,0,5,2,1,3,4,3,3,3,2,1,0
1726,1,4,0,5,4,0,5,3,5,4,5,4,0,1
1728,0,1,0,4,3,0,2,2,4,4,2,2,1,0
1735,0,3,0,3,3,0,3,3,3,4,3,3,0,1
1742,1,0,0,0,2,1,4,4,1,1,4,4,1,0
1747,0,5,1,5,1,1,5,2,5,5,2,2,1,0
1763,0,3,1,3,5,0,4,5,4,4,4,2,0,1
1765,0,3,1,3,5,0,4,5,5,5,3,5,0,1
1780,0,4,0,3,1,0,4,4,3,1,4,4,0,1
1784,0,4,0,4,1,0,4,4,4,4,4,4,0,1
1787,0,0,1,0,5,0,4,5,4,2,5,3,1,0
1800,0,4,1,4,4,1,4,4,1,3,5,3,1,0
1801,1,5,0,5,4,1,4,4,4,4,3,3,1,0
1804,0,4,1,4,5,0,5,4,5,5,4,3,0,1
1805,0,3,0,3,2,1,3,3,3,3,5,4,1,0
1809,0,4,1,4,4,0,4,4,4,4,4,2,0,1
1812,0,5,1,5,5,1,5,3,2,2,1,1,1,0
1813,0,4,0,4,2,0,1,1,4,4,3,5,0,1
1815,0,3,1,3,5,0,4,5,4,4,5,2,0,1
1829,1,0,0,0,2,1,4,4,5,5,3,1,1,0
1835,0,5,0,5,3,2,2,1,5,5,2,2,1,0
1844,1,4,0,5,3,1,2,2,4,5,2,4,1,0
1862,0,4,0,2,4,0,4,4,3,3,4,4,0,1
1867,1,4,0,4,3,1,4,3,2,2,4,3,1,0
1868,0,4,1,4,4,0,5,4,1,1,3,4,1,0
1880,0,4,0,4,1,2,4,1,4,4,3,4,1,0
1885,0,3,1,4,5,1,5,5,3,3,5,5,0,1
1886,1,0,0,0,3,1,2,2,1,1,3,3,1,0
1889,0,2,1,2,4,0,5,5,4,4,4,5,0,1
1901,1,5,0,5,4,2,4,4,4,3,2,1,1,0
1910,0,4,1,1,1,1,4,3,1,1,5,3,1,0
1920,0,0,0,0,3,2,3,1,1,5,4,4,1,0
1936,0,3,0,4,3,0,3,3,3,2,3,3,0,1
1944,0,0,0,3,2,1,4,2,1,1,5,4,1,0
1990,0,4,0,3,4,0,4,4,4,3,4,3,0,1
1993,0,4,1,4,3,0,4,4,3,3,3,4,0,1
1996,0,3,0,4,3,0,3,3,4,3,3,3,0,1
1998,1,4,0,4,1,1,3,2,2,2,3,2,1,0
2012,0,3,0,3,4,0,3,4,3,3,4,3,0,1
2024,0,4,1,4,2,1,2,3,3,3,3,4,1,0
2033,1,4,0,4,5,1,4,5,2,2,5,2,1,0
2034,0,0,1,0,4,1,4,4,1,1,5,5,1,0
2047,0,3,0,3,3,0,3,3,3,3,3,4,0,1
2059,0,2,1,2,5,0,5,4,3,5,5,5,0,1
2062,0,4,1,4,3,0,5,5,3,4,4,5,0,1
2064,0,3,1,3,4,0,5,5,5,5,3,5,0,1
2072,1,4,0,4,1,1,2,4,3,3,3,2,1,0
2077,0,5,1,5,3,1,2,4,2,2,1,1,1,0
2090,0,3,0,2,5,0,3,3,2,3,3,3,1,0
2091,0,5,0,2,1,0,2,2,4,2,2,2,1,0
2094,0,4,0,4,4,1,1,2,4,4,4,2,0,1
2101,0,3,1,3,5,0,5,5,5,5,4,2,0,1
2105,0,0,0,0,4,2,5,1,4,4,4,3,1,0
2129,0,3,1,3,5,0,4,5,2,2,3,4,1,0
2137,1,4,0,4,5,1,5,4,3,3,5,4,1,0
2138,1,0,0,2,2,1,4,3,2,2,4,3,1,0
2151,0,4,1,4,1,1,2,2,4,4,5,1,1,0
2153,0,4,0,1,2,0,2,2,3,2,2,2,1,0
2154,0,5,0,5,2,2,1,4,5,5,2,1,1,0
2167,0,3,1,3,3,0,4,4,5,5,4,3,0,1
2170,0,2,1,3,3,0,5,5,4,4,5,2,0,1
2189,1,5,0,5,4,1,2,2,2,2,1,4,1,0
2190,1,4,0,4,3,1,4,4,3,3,5,4,1,0
2196,0,2,0,5,1,0,2,2,2,4,2,2,1,0
2197,0,4,0,4,4,2,2,2,3,4,3,3,1,0
2198,0,5,1,5,1,1,2,3,3,3,3,4,1,0
2201,0,4,1,3,3,0,3,3,2,1,3,4,1,0
2205,0,5,0,4,4,0,3,2,5,5,3,1,0,1
2209,1,4,0,5,3,1,2,3,5,3,2,4,1,0
2228,0,1,1,2,5,0,5,4,5,5,3,4,0,1
2231,0,4,1,4,4,0,4,4,4,3,3,4,0,1
2244,0,3,0,4,2,0,3,3,4,4,3,3,0,1
2252,0,4,0,4,2,2,2,1,4,4,3,4,1,0
2254,1,5,0,5,1,2,4,3,1,1,3,4,1,0
2256,1,0,0,0,4,1,5,4,1,3,3,4,1,0
2259,1,4,0,4,2,1,4,4,5,3,1,4,1,0
2275,0,4,0,4,3,0,4,4,4,4,3,3,0,1
2280,1,0,0,0,2,1,3,3,3,4,2,3,1,0
2287,0,4,0,3,3,0,4,3,4,3,2,4,0,1
2296,1,5,0,5,3,1,4,4,1,1,4,3,1,0
2300,0,3,0,3,4,0,3,3,3,2,3,3,0,1
2302,0,4,0,4,2,0,3,3,4,4,2,5,0,1
2308,0,4,0,4,3,1,4,3,4,4,2,1,0,1
2309,0,4,1,4,4,0,5,5,4,4,3,3,0,1
2319,1,4,0,0,3,2,5,4,5,3,5,4,1,0
2334,1,0,0,0,2,2,4,3,3,3,2,1,1,0
2337,0,3,0,3,2,0,3,3,3,4,3,3,0,1
2367,0,3,1,3,3,0,4,5,5,5,3,5,0,1
2369,0,5,1,5,3,1,1,1,4,4,1,4,1,0
2375,1,5,0,3,4,1,1,1,3,3,1,5,1,0
2390,1,0,0,4,4,0,2,2,5,5,2,0,1,0
2419,0,4,1,2,2,1,5,3,2,2,1,4,1,0
2422,1,4,0,4,4,1,4,4,4,4,3,3,1,0
2428,1,4,0,5,5,0,5,5,4,4,5,4,0,1
2437,0,4,0,2,2,0,4,4,3,3,4,4,0,1
2440,0,4,0,4,2,1,1,3,4,4,2,2,1,0
2462,1,4,0,4,3,1,5,4,1,3,3,2,1,0
2463,0,3,0,4,2,0,3,3,4,2,3,3,0,1
2465,0,4,0,4,2,1,1,1,4,4,5,1,1,0
2469,0,3,0,5,1,1,5,1,3,3,1,1,1,0
2471,0,3,0,3,1,0,1,1,5,3,1,2,1,0
2472,0,4,0,4,1,0,4,4,3,2,4,4,0,1
2474,0,4,0,3,2,0,4,4,3,4,4,4,0,1
2488,0,4,0,4,3,1,3,2,4,4,3,5,0,1
2494,0,2,0,4,3,0,2,2,4,4,1,2,1,0
2495,0,4,0,1,4,2,3,3,4,5,3,4,1,0
2503,0,2,0,2,5,1,2,2,2,2,1,1,1,0
2506,1,4,0,4,5,1,4,4,3,3,5,2,1,0
2515,0,4,0,3,3,0,4,4,3,4,4,4,0,1
2521,0,2,1,2,3,0,4,5,5,5,4,5,0,1
2532,0,3,0,3,2,0,3,3,3,3,2,5,0,1
2536,0,4,0,4,4,2,4,4,4,2,4,4,0,1
2543,0,4,0,3,3,0,4,4,3,1,4,4,0,1
2566,0,0,0,2,3,0,4,5,2,2,1,1,1,0
2571,0,0,1,0,3,0,5,4,1,1,5,2,1,0
2575,0,4,0,3,1,1,4,4,4,4,4,4,0,1
2583,1,5,0,5,1,2,4,3,4,4,1,3,1,0
2584,0,0,1,0,4,0,4,5,3,4,3,3,1,0
2606,0,3,1,3,4,0,4,5,5,5,4,4,0,1
2621,0,3,0,4,3,0,3,3,3,2,3,3,0,1
2624,0,4,1,4,5,0,4,5,1,1,4,2,1,0
2660,0,4,0,4,1,0,3,3,4,4,2,1,0,1
2665,0,0,0,1,1,0,3,3,1,1,1,2,1,0
2671,0,3,1,3,5,0,4,4,4,3,4,5,0,1
2674,1,5,0,5,4,1,4,4,4,4,1,4,1,0
2681,0,0,1,0,4,1,4,5,2,2,3,5,1,0
2688,0,3,0,3,3,0,4,3,3,3,3,2,0,1
2694,0,4,1,4,3,1,5,5,2,2,3,5,1,0
2701,0,4,0,3,4,1,4,4,2,2,4,4,0,1
2702,1,4,0,5,4,1,3,3,5,5,3,4,1,0
2706,1,4,0,4,4,2,4,4,3,3,4,3,1,0
2713,0,3,1,3,4,0,5,4,4,4,5,5,0,1
2719,0,5,0,4,3,0,3,4,5,5,4,4,0,1
2722,1,5,0,4,4,1,5,5,2,2,5,5,1,0
2729,0,4,1,4,2,1,2,1,5,5,4,4,1,0
2733,1,4,0,4,1,1,3,2,2,2,2,1,1,0
2750,0,3,0,4,3,0,3,3,3,3,3,3,0,1
2752,0,1,0,5,5,0,1,1,4,5,1,2,1,0
2760,0,0,1,0,4,0,4,5,4,4,3,5,1,0
2773,0,4,1,4,3,0,5,5,5,5,3,3,0,1
2783,0,0,0,0,1,1,3,2,1,1,3,1,1,0
2808,0,3,0,3,4,0,3,3,3,3,3,2,0,1
2811,0,2,0,3,3,1,1,5,2,2,1,4,1,0
2817,1,4,0,4,5,1,5,4,3,3,3,3,1,0
2823,1,4,0,4,3,1,3,3,4,4,1,1,1,0
2832,0,0,1,0,5,0,4,4,4,4,5,4,1,0
2842,0,4,0,3,1,0,4,4,4,2,4,3,0,1
2856,0,4,0,1,1,1,4,4,3,2,4,4,1,0
2858,0,4,1,4,5,1,4,4,1,1,5,2,1,0
2862,0,3,0,4,2,0,3,3,3,2,3,3,0,1
2876,1,4,0,4,4,1,5,5,4,4,4,5,1,0
2890,0,4,0,3,4,1,4,4,4,1,4,4,0,1
2895,0,3,0,4,3,0,3,3,4,3,3,3,0,1
2916,1,4,0,4,3,1,5,5,1,1,4,5,1,0
2926,0,2,0,2,2,1,5,4,2,2,5,3,1,0
2934,0,0,0,1,2,0,2,2,5,2,2,2,1,0
2948,0,4,0,4,2,0,4,2,4,4,1,5,0,1
2959,0,3,0,3,1,0,4,4,3,3,2,5,0,1
2962,0,3,0,3,3,0,2,3,3,3,3,4,0,1
2963,0,3,0,4,4,0,3,3,3,2,3,3,0,1
2965,0,4,1,4,5,0,4,5,5,3,5,2,0,1
2980,0,4,1,4,3,0,5,4,1,3,4,2,1,0
2989,0,4,0,2,3,0,4,4,2,2,4,4,0,1
2999,1,5,0,5,4,1,3,3,3,3,2,1,1,0
3005,0,4,1,4,1,1,3,1,1,3,5,2,1,0
3021,1,5,0,4,4,1,2,2,3,1,2,5,1,0
3023,1,5,0,0,1,1,3,4,1,1,2,2,1,0
3031,0,4,0,2,4,0,3,3,4,2,3,2,0,1
3041,1,4,0,4,3,1,4,4,4,1,5,2,1,0
3049,0,3,0,4,4,0,2,2,4,1,2,2,1,0
3059,0,0,1,0,5,0,4,5,2,2,5,5,1,0
3067,0,3,0,3,4,0,3,3,4,3,3,3,0,1
3095,0,1,1,2,4,0,4,5,5,5,4,3,0,1
3097,0,4,0,3,3,0,3,3,1,3,3,3,1,0
3099,0,4,1,4,5,0,5,4,3,3,5,4,0,1
3122,0,0,0,1,2,0,3,5,3,1,3,5,1,0
3124,1,0,0,2,3,2,2,2,4,2,2,0,1,0
3133,0,3,0,3,3,0,3,3,3,3,3,3,0,1
3136,1,4,0,4,1,1,2,4,3,3,5,2,1,0
3138,0,3,0,3,4,0,2,2,3,3,2,2,1,0
3142,0,3,0,3,3,2,1,2,3,3,4,3,1,0
3144,0,4,0,4,4,1,3,2,4,4,2,1,1,0
3157,0,2,0,2,1,1,3,3,2,2,4,4,1,0
3168,0,4,0,3,1,0,4,4,3,3,4,4,0,1
3171,0,4,0,3,4,0,4,4,3,4,4,4,0,1
3185,0,4,0,3,3,0,4,4,4,3,4,4,0,1
3191,0,4,0,2,5,2,4,4,2,3,4,4,1,0
3233,0,4,1,3,4,0,4,4,5,5,5,5,0,1
3236,0,2,0,1,2,0,4,4,4,2,4,4,1,0
3247,1,5,0,5,5,2,3,5,2,1,3,4,1,0
3267,0,4,1,4,3,1,3,3,5,5,3,4,0,1
3284,1,5,0,3,2,1,1,1,3,1,1,5,1,0
3286,1,0,0,0,3,1,3,4,2,5,3,2,1,0
3299,0,4,0,3,4,0,4,3,4,4,4,3,0,1
3302,0,4,1,4,4,1,4,3,1,2,1,3,1,0
3316,0,3,1,3,5,0,4,5,5,5,3,5,0,1
3322,1,4,0,4,4,1,3,3,5,5,2,3,1,0
3330,1,4,0,4,4,1,4,5,3,3,3,5,1,0
3333,1,4,0,3,3,2,4,4,4,3,4,4,1,0
3337,1,4,0,4,5,1,4,4,4,2,5,5,1,0
3342,0,4,0,2,1,0,4,4,3,2,4,4,0,1
3352,0,3,0,3,5,0,2,2,4,4,2,2,1,0
3354,1,4,0,4,5,1,5,4,3,1,5,4,1,0
3369,1,4,0,4,2,1,4,3,3,3,4,2,1,0
3375,1,4,0,4,3,1,5,5,4,1,5,4,1,0
3387,0,3,0,4,5,1,5,1,4,3,1,4,1,0
3388,0,3,0,3,4,1,4,4,3,3,4,3,0,1
3390,1,4,0,5,5,1,5,5,4,5,5,4,0,1
3395,0,2,0,2,4,2,4,1,3,3,1,5,1,0
3402,0,3,1,3,5,0,5,5,4,4,5,3,0,1
3403,0,5,1,5,3,1,2,5,2,5,2,1,1,0
3409,0,4,0,3,1,0,4,4,3,3,4,4,0,1
3418,0,5,0,4,2,1,4,3,5,5,4,1,0,1
3422,0,4,0,3,1,0,4,4,3,1,4,4,0,1
3429,1,5,0,4,5,2,5,5,2,2,1,3,1,0
3433,0,3,0,3,4,0,3,3,3,3,4,3,0,1
3434,0,0,1,0,2,1,5,4,3,3,1,4,1,0
3441,0,4,1,4,1,0,1,2,3,3,4,1,1,0
3465,0,0,1,0,1,1,3,5,2,2,2,1,1,0
3471,1,4,0,0,4,1,4,4,3,3,3,5,1,0
3480,0,4,1,4,5,0,4,4,2,2,5,2,1,0
3487,0,3,0,3,4,1,4,4,3,3,3,5,0,1
3494,0,3,0,4,2,0,3,3,4,2,3,3,0,1
