,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Decision Tree
1839,1,4,0,4,4,1,5,4,3,3,5,3,0,1
1844,1,4,0,5,3,1,2,2,4,5,2,4,1,0
1845,0,1,0,3,2,0,3,5,3,4,3,0,0,1
1867,1,4,0,4,3,1,4,3,2,2,4,3,1,0
1870,0,4,1,4,3,0,4,4,2,2,5,5,1,0
1881,0,4,1,4,4,1,1,3,4,4,1,4,0,1
1917,1,4,0,5,3,0,5,5,4,3,5,4,1,0
1922,1,4,0,4,3,1,5,4,1,1,4,2,0,1
1955,1,4,0,4,3,1,3,3,4,4,1,5,0,1
1974,1,3,0,3,3,0,3,4,1,4,3,3,0,1
1987,0,1,0,3,1,0,3,4,1,4,2,3,0,1
1993,0,4,1,4,3,0,4,4,3,3,3,4,0,1
1998,1,4,0,4,1,1,3,2,2,2,3,2,1,0
2010,1,4,0,4,1,2,4,2,3,3,1,2,0,1
2024,0,4,1,4,2,1,2,3,3,3,3,4,1,0
2033,1,4,0,4,5,1,4,5,2,2,5,2,1,0
2062,0,4,1,4,3,0,5,5,3,4,4,5,0,1
2072,1,4,0,4,1,1,2,4,3,3,3,2,1,0
2094,0,4,0,4,4,1,1,2,4,4,4,2,0,1
2129,0,3,1,3,5,0,4,5,2,2,3,4,1,0
2137,1,4,0,4,5,1,5,4,3,3,5,4,1,0
2151,0,4,1,4,1,1,2,2,4,4,5,1,1,0
2174,0,4,0,4,2,1,4,3,4,4,2,3,1,0
2190,1,4,0,4,3,1,4,4,3,3,5,4,1,0
2197,0,4,0,4,4,2,2,2,3,4,3,3,1,0
2201,0,4,1,3,3,0,3,3,2,1,3,4,1,0
2209,1,4,0,5,3,1,2,3,5,3,2,4,1,0
2231,0,4,1,4,4,0,4,4,4,3,3,4,0,1
2259,1,4,0,4,2,1,4,4,5,3,1,4,1,0
2273,1,4,0,4,3,1,4,2,2,2,4,5,0,1
2275,0,4,0,4,3,0,4,4,4,4,3,3,0,1
2287,0,4,0,3,3,0,4,3,4,3,2,4,0,1
2299,1,4,0,4,5,2,4,3,4,4,5,3,0,1
2311,0,3,0,2,2,0,4,3,3,2,3,1,0,1
2319,1,4,0,0,3,2,5,4,5,3,5,4,1,0
2340,1,4,0,4,2,1,4,4,4,4,4,2,0,1
2403,0,4,1,4,3,0,5,3,5,5,5,5,1,0
2422,1,4,0,4,4,1,4,4,4,4,3,3,1,0
2428,1,4,0,5,5,0,5,5,4,4,5,4,0,1
2462,1,4,0,4,3,1,5,4,1,3,3,2,1,0
2488,0,4,0,4,3,1,3,2,4,4,3,5,0,1
2494,0,2,0,4,3,0,2,2,4,4,1,2,1,0
2497,0,3,0,3,3,2,3,2,3,3,1,1,0,1
2506,1,4,0,4,5,1,4,4,3,3,5,2,1,0
2508,0,4,1,4,3,0,5,5,5,5,5,2,1,0
2523,1,4,0,4,4,1,3,5,4,4,5,5,0,1
2531,0,4,0,3,2,0,4,4,3,1,4,4,1,0
2536,0,4,0,4,4,2,4,4,4,2,4,4,0,1
2537,1,4,0,4,3,1,4,3,4,4,2,4,0,1
2554,1,4,0,4,2,1,4,3,4,4,4,4,0,1
2581,1,4,0,3,1,0,2,2,2,3,2,4,0,1
2629,1,4,0,4,1,1,4,2,5,3,2,2,0,1
2644,0,3,0,3,2,1,4,4,3,3,5,4,1,0
2686,0,4,1,4,5,0,5,5,1,1,3,4,0,1
2706,1,4,0,4,4,2,4,4,3,3,4,3,1,0
2729,0,4,1,4,2,1,2,1,5,5,4,4,1,0
2733,1,4,0,4,1,1,3,2,2,2,2,1,1,0
2741,1,4,0,4,4,2,5,4,1,4,5,4,0,1
2743,1,4,0,4,1,1,3,4,5,5,1,4,0,1
2759,0,3,0,4,4,0,3,3,4,3,3,3,1,0
2773,0,4,1,4,3,0,5,5,5,5,3,3,0,1
2781,1,2,0,2,4,0,3,3,3,2,3,2,0,1
2817,1,4,0,4,5,1,5,4,3,3,3,3,1,0
2823,1,4,0,4,3,1,3,3,4,4,1,1,1,0
2858,0,4,1,4,5,1,4,4,1,1,5,2,1,0
2870,0,3,0,3,1,0,2,3,2,4,2,2,0,1
2876,1,4,0,4,4,1,5,5,4,4,4,5,1,0
2886,0,4,0,4,4,0,4,4,3,3,4,5,1,0
2890,0,4,0,3,4,1,4,4,4,1,4,4,0,1
2898,1,4,0,5,3,1,1,4,5,5,2,5,0,1
2916,1,4,0,4,3,1,5,5,1,1,4,5,1,0
2942,0,3,1,3,3,1,4,5,4,4,3,3,0,1
2956,1,4,0,4,2,1,4,4,4,4,4,2,0,1
2965,0,4,1,4,5,0,4,5,5,3,5,2,0,1
3005,0,4,1,4,1,1,3,1,1,3,5,2,1,0
3012,0,4,0,4,2,0,4,4,3,2,4,4,1,0
3017,0,3,0,4,2,1,2,2,4,3,2,3,0,1
3041,1,4,0,4,3,1,4,4,4,1,5,2,1,0
3049,0,3,0,4,4,0,2,2,4,1,2,2,1,0
3099,0,4,1,4,5,0,5,4,3,3,5,4,0,1
3136,1,4,0,4,1,1,2,4,3,3,5,2,1,0
3138,0,3,0,3,4,0,2,2,3,3,2,2,1,0
3142,0,3,0,3,3,2,1,2,3,3,4,3,1,0
3144,0,4,0,4,4,1,3,2,4,4,2,1,1,0
3157,0,2,0,2,1,1,3,3,2,2,4,4,1,0
3165,0,3,0,4,2,0,4,3,3,1,4,5,1,0
3178,0,4,1,4,2,2,2,3,4,4,1,5,0,1
3180,1,4,0,3,3,1,5,5,3,3,4,5,0,1
3233,0,4,1,3,4,0,4,4,5,5,5,5,0,1
3285,1,4,0,4,1,1,3,3,1,1,2,1,0,1
3287,0,4,1,4,3,0,4,4,3,4,3,2,1,0
3302,0,4,1,4,4,1,4,3,1,2,1,3,1,0
3304,0,4,1,4,4,1,3,3,1,1,1,1,0,1
3322,1,4,0,4,4,1,3,3,5,5,2,3,1,0
3329,1,4,0,4,3,1,4,4,2,4,4,4,0,1
3333,1,4,0,3,3,2,4,4,4,3,4,4,1,0
3337,1,4,0,4,5,1,4,4,4,2,5,5,1,0
3372,1,4,0,4,1,1,4,4,3,3,4,5,0,1
3375,1,4,0,4,3,1,5,5,4,1,5,4,1,0
3383,0,4,1,4,5,0,5,5,4,5,4,3,1,0
3402,0,3,1,3,5,0,5,5,4,4,5,3,0,1
3411,0,2,1,2,4,0,5,4,4,3,3,2,0,1
3471,1,4,0,0,4,1,4,4,3,3,3,5,1,0
3490,0,4,0,4,4,1,3,3,4,4,4,2,1,0
3495,0,2,0,2,1,1,1,2,2,2,1,5,0,1
3496,1,4,0,4,3,1,5,5,3,3,4,4,1,0
3498,0,4,0,4,4,1,1,3,4,4,3,4,0,1
3516,1,4,0,4,2,2,3,3,2,4,2,4,0,1
3527,0,4,0,4,4,1,2,1,4,4,4,2,1,0
3592,1,4,0,4,5,1,5,5,5,5,4,4,1,0
3652,0,2,0,3,1,0,1,3,3,3,1,1,1,0
3654,0,4,0,4,3,0,4,4,3,4,4,4,1,0
3691,0,4,1,4,5,0,4,5,5,4,4,4,0,1
3722,0,2,0,2,2,1,3,4,2,2,4,1,1,0
3741,1,4,0,4,3,1,5,5,2,2,4,4,1,0
3780,0,4,1,4,1,0,5,4,4,4,1,5,1,0
3800,0,4,1,4,2,1,2,4,1,1,1,4,1,0
3819,0,4,0,4,3,2,4,4,3,1,4,4,1,0
3821,0,4,1,4,3,0,5,4,3,3,4,5,1,0
3872,0,4,0,3,1,1,5,5,2,3,5,4,1,0
3906,0,4,1,4,4,1,5,5,3,3,4,3,0,1
3912,0,4,1,4,3,0,4,3,2,2,3,2,0,1
3918,0,2,1,2,5,0,5,5,4,4,3,2,1,0
3944,0,3,0,4,2,1,4,4,3,3,2,1,1,0
3967,0,4,0,2,3,1,4,4,2,1,4,4,0,1
3978,0,3,0,3,4,1,3,2,3,3,4,2,1,0
3982,1,4,0,4,2,1,3,4,3,3,4,4,1,0
3990,1,4,0,4,4,1,4,3,2,2,3,4,0,1
3992,0,4,1,4,3,1,4,4,2,2,4,5,1,0
3996,0,4,1,4,4,0,5,5,3,3,5,4,0,1
4000,0,1,0,1,3,0,1,1,1,1,4,4,0,1
4043,1,4,0,4,1,1,2,1,5,5,1,1,0,1
4049,0,4,1,4,5,0,5,5,5,5,3,2,1,0
4058,1,4,0,3,2,1,4,2,2,2,5,3,0,1
4066,0,2,0,1,2,0,2,2,2,3,2,2,1,0
4082,0,4,1,5,4,1,4,4,1,1,4,2,1,0
4131,1,4,0,4,5,0,5,4,4,4,5,5,1,0
4138,0,3,0,1,4,1,4,4,1,4,4,3,1,0
4153,0,3,0,3,3,0,3,1,3,3,5,1,1,0
4178,0,4,1,5,1,1,1,5,4,4,1,1,1,0
4184,1,4,0,4,3,1,4,3,4,4,3,1,1,0
4190,0,2,1,3,4,0,4,4,1,1,4,2,0,1
4227,0,4,1,5,3,1,5,5,5,5,4,5,1,0
4234,0,4,0,4,4,0,3,4,4,4,2,5,0,1
4252,0,4,0,4,4,1,3,3,2,4,4,4,0,1
4277,0,3,1,3,3,0,4,3,5,4,3,3,0,1
4313,0,4,1,3,4,0,4,5,5,5,5,4,1,0
4324,1,4,0,4,4,1,4,3,1,1,5,2,1,0
4332,0,4,1,4,2,1,3,1,1,1,2,3,0,1
4402,0,4,1,5,3,0,5,5,4,4,5,5,1,0
4435,0,3,0,3,4,1,4,4,3,3,3,2,1,0
4473,1,4,0,3,4,1,4,5,1,5,4,3,0,1
4511,1,4,0,4,5,1,4,4,4,4,4,2,0,1
4516,0,4,0,3,3,1,4,4,4,3,4,4,0,1
4530,0,4,1,4,2,1,5,5,5,5,5,4,0,1
4543,0,4,0,4,2,1,4,4,4,4,1,1,0,1
4594,1,4,0,4,3,2,4,4,3,3,4,4,1,0
4613,0,0,0,5,1,1,2,2,1,2,2,2,1,0
4654,0,4,1,3,5,1,1,4,5,5,5,5,0,1
4666,0,4,1,5,3,1,3,3,1,1,1,3,1,0
4685,0,4,1,4,3,1,4,5,2,2,4,5,1,0
4724,0,4,0,4,3,1,4,4,4,4,1,3,0,1
4736,0,4,1,3,1,0,3,4,2,2,3,2,0,1
4804,1,4,0,0,3,2,4,4,2,1,2,1,1,0
4812,0,4,1,4,4,0,5,5,1,1,3,5,0,1
4884,0,4,0,4,1,1,2,2,4,4,2,1,1,0
4913,1,4,0,5,5,1,4,5,4,3,3,3,0,1
4919,1,4,0,4,3,1,5,4,2,2,3,2,1,0
4933,0,4,1,4,4,1,2,5,2,2,3,4,0,1
4935,1,4,0,5,5,1,5,4,5,5,4,5,0,1
4937,0,2,0,3,3,0,3,3,4,3,3,3,1,0
4940,0,5,0,4,2,0,4,2,4,4,2,5,1,0
4969,0,4,1,2,2,1,3,5,2,2,3,4,0,1
4976,1,4,0,3,2,1,2,2,3,1,2,4,1,0
4985,0,4,1,4,4,0,4,4,3,3,4,4,1,0
4989,0,4,0,4,1,0,2,1,4,4,2,3,0,1
5013,0,3,0,3,3,2,2,2,3,3,2,3,1,0
5017,0,4,1,4,5,0,5,4,5,4,4,5,1,0
5021,0,4,0,4,2,2,1,2,4,4,4,2,1,0
5026,0,5,0,3,4,0,5,5,3,3,5,4,1,0
5042,0,4,1,4,3,1,4,3,1,1,3,4,1,0
5084,1,4,0,4,2,1,4,4,1,1,3,2,0,1
5101,0,4,1,4,3,0,5,4,1,1,4,3,0,1
5103,0,4,1,2,2,0,5,4,2,2,3,3,0,1
5133,0,4,1,4,3,0,3,4,4,4,2,1,0,1
5194,0,4,1,4,4,1,5,5,4,4,4,5,1,0
5228,0,4,1,4,2,1,1,4,5,5,1,2,1,0
5231,1,4,0,4,4,0,3,3,4,3,3,4,0,1
5242,1,4,0,4,5,1,5,5,3,3,5,5,1,0
5298,1,4,0,4,4,1,4,5,5,5,4,5,1,0
5326,0,4,0,4,4,0,1,1,4,4,1,2,1,0
5343,0,4,0,3,1,0,2,2,4,4,4,3,0,1
5362,0,3,0,3,3,1,4,3,3,3,1,1,1,0
5387,0,4,0,4,1,2,4,4,5,5,2,2,0,1
5412,1,4,0,3,3,0,1,1,3,3,1,5,0,1
5415,0,4,0,4,2,1,4,4,3,2,4,4,0,1
5502,0,4,1,4,3,1,2,1,5,5,1,5,1,0
5518,1,4,0,4,3,1,4,2,3,3,1,3,0,1
5540,0,4,0,4,4,1,4,1,4,4,5,1,0,1
5578,1,4,0,4,5,1,4,4,2,2,4,4,1,0
5600,0,4,0,3,2,1,4,4,3,2,4,4,1,0
5610,0,4,0,4,1,1,4,2,4,4,3,2,1,0
5627,0,4,1,4,2,1,3,2,5,5,4,2,0,1
5644,0,4,1,4,4,2,3,3,2,2,1,1,1,0
5671,0,4,1,4,2,1,3,2,4,4,2,1,1,0
5695,0,4,0,4,3,0,4,4,4,4,4,4,0,1
5737,1,4,0,4,3,1,3,3,3,3,1,1,0,1
5813,0,4,1,4,3,1,5,1,5,2,3,3,1,0
5911,0,1,0,2,2,0,4,4,2,2,4,4,1,0
5939,0,4,0,4,1,1,4,4,3,2,4,4,0,1
5959,0,4,0,4,1,1,1,2,4,4,4,1,1,0
5962,1,4,0,4,3,1,5,4,5,3,5,5,1,0
5970,0,4,0,3,3,0,4,4,3,3,4,4,1,0
5972,0,4,1,3,4,0,1,1,4,4,1,4,0,1
5976,0,4,1,4,2,1,5,5,3,3,5,4,0,1
5981,1,4,0,5,3,1,5,4,4,4,3,3,0,1
6002,1,4,0,4,5,1,5,4,2,5,5,5,0,1
6017,0,4,1,4,5,1,5,4,5,5,4,3,0,1
6048,0,4,1,4,4,0,4,4,2,2,3,5,1,0
6062,0,4,1,4,4,1,3,5,3,3,1,5,0,1
6155,0,4,1,4,4,1,5,4,3,3,4,5,1,0
6165,0,4,1,4,1,1,2,1,1,1,5,5,1,0
6197,0,4,1,4,3,0,4,4,2,2,5,4,1,0
6216,0,4,1,4,4,0,4,5,2,2,4,2,1,0
6230,1,4,0,4,5,1,4,4,2,2,4,5,1,0
6269,0,2,1,2,3,1,5,5,1,1,3,4,0,1
6310,0,4,1,4,4,0,5,5,4,4,5,3,1,0
6316,0,4,1,4,4,1,5,4,3,3,2,4,1,0
6333,0,1,0,1,1,0,4,3,3,1,4,4,1,0
6367,0,4,0,3,3,0,4,4,3,3,4,3,1,0
6375,0,4,1,4,4,0,5,4,1,1,4,5,0,1
6386,0,4,1,4,3,1,4,1,5,5,4,4,1,0
6406,0,4,0,4,4,1,1,3,4,4,5,4,0,1
6430,1,4,0,4,3,1,4,2,1,1,2,3,1,0
6431,0,4,1,4,5,0,4,5,2,2,4,5,1,0
6442,1,4,0,4,5,1,4,5,2,2,4,3,1,0
6460,1,4,0,4,4,1,3,1,4,4,4,2,0,1
6496,1,4,0,4,4,1,2,3,3,3,4,1,0,1
6508,0,2,0,2,3,1,2,2,4,1,2,2,0,1
6512,1,4,0,4,2,1,4,2,4,4,3,5,1,0
6532,0,2,1,2,3,1,4,4,4,3,5,4,0,1
6540,1,4,0,5,4,1,4,4,4,4,4,3,1,0
6546,0,2,1,2,5,0,4,5,1,1,5,4,1,0
6550,0,4,1,4,1,0,2,1,3,3,5,2,1,0
6575,0,5,0,1,4,0,5,5,1,3,5,4,0,1
6579,1,4,0,4,4,1,5,4,3,3,3,2,1,0
6584,0,3,0,4,1,0,4,4,3,3,4,5,0,1
6590,1,4,0,3,5,1,5,5,5,3,3,3,0,1
6604,1,4,0,2,3,1,4,4,3,1,4,4,0,1
6609,0,4,1,4,4,0,4,3,4,4,4,5,0,1
6614,0,3,1,3,3,1,5,2,5,4,3,3,0,1
6625,0,4,1,4,2,1,3,3,4,4,1,5,0,1
6644,0,4,0,4,4,1,4,3,4,4,3,4,0,1
6682,0,4,0,4,4,1,2,4,5,5,4,5,1,0
6684,0,4,1,5,5,1,5,4,3,3,4,4,1,0
6701,0,4,1,5,4,0,4,4,3,3,2,2,0,1
6704,0,4,0,4,1,1,4,4,4,4,3,4,1,0
6705,1,4,0,3,1,1,3,3,3,2,3,2,1,0
6765,0,5,0,4,4,0,5,5,3,3,5,4,1,0
6771,0,4,1,4,4,1,1,2,3,3,1,3,0,1
6772,0,4,0,4,3,1,2,1,4,4,3,2,1,0
6779,0,4,0,4,3,0,4,4,4,4,4,4,0,1
6796,0,4,0,4,1,0,2,2,4,4,3,5,0,1
6811,0,4,1,4,5,0,4,5,5,5,3,5,0,1
6838,0,1,0,4,2,0,3,3,3,3,3,0,0,1
6843,0,4,1,1,1,1,3,4,1,1,4,4,1,0
6852,0,4,0,4,3,1,2,1,4,4,3,2,1,0
6864,1,4,0,5,5,1,4,4,4,3,4,4,1,0
6885,0,4,0,4,1,2,3,4,4,4,3,4,1,0
6898,0,2,0,2,3,1,4,3,3,3,2,1,1,0
6924,0,4,0,4,3,0,4,4,4,4,3,2,1,0
6925,0,4,0,4,3,1,4,4,4,4,1,2,0,1
6934,0,4,1,4,3,2,4,4,3,3,3,4,0,1
6937,0,4,0,4,3,1,4,4,4,4,3,1,1,0
6977,0,4,1,4,4,1,5,4,2,2,3,2,1,0
6981,0,3,0,2,4,0,2,3,3,4,2,2,0,1
6987,0,2,0,1,4,0,4,4,2,2,4,4,0,1
7021,1,4,0,4,5,2,5,5,5,3,5,4,0,1
7027,1,4,0,4,3,1,4,5,2,2,5,2,1,0
7053,1,4,0,4,1,1,2,2,5,5,4,1,0,1
7107,1,4,0,3,3,2,4,5,1,1,4,3,0,1
7163,1,4,0,4,5,1,4,4,4,4,3,2,1,0
7165,0,3,1,3,3,1,4,5,1,1,4,4,0,1
7232,0,4,1,4,4,0,4,5,4,2,5,4,0,1
7243,0,2,0,2,2,0,5,3,2,2,1,3,0,1
7250,0,4,0,4,4,0,3,3,4,4,1,5,0,1
7303,0,2,1,2,3,0,4,5,4,4,3,3,0,1
7309,0,4,1,4,2,1,5,1,1,1,3,5,1,0
7318,1,4,0,5,3,1,5,4,5,2,3,3,0,1
7343,0,3,0,3,4,0,3,4,3,3,2,5,1,0
7346,0,4,1,4,5,0,4,4,1,1,3,3,0,1
7417,0,1,0,4,3,0,3,1,3,3,3,0,0,1
7418,0,4,0,4,1,0,4,4,4,4,4,4,1,0
7442,1,4,0,4,2,1,5,1,2,2,3,5,1,0
7443,1,4,0,4,1,1,4,3,4,4,3,5,1,0
7447,1,4,0,4,4,1,5,4,3,3,4,5,0,1
7453,0,4,1,4,4,0,4,5,4,4,3,3,0,1
7456,0,4,1,4,5,1,2,4,4,4,3,3,1,0
7532,0,3,0,3,2,1,3,3,2,3,3,3,1,0
7547,0,4,0,4,3,0,2,3,3,3,3,3,0,1
7596,0,4,1,4,4,0,4,5,5,5,4,2,1,0
7601,0,3,1,3,4,0,4,4,5,5,3,5,1,0
7628,0,1,0,3,5,0,5,1,5,5,5,5,1,0
7659,0,4,1,4,4,1,1,1,2,5,2,4,0,1
7710,1,4,0,4,5,1,1,2,3,3,1,3,1,0
7727,0,4,1,4,5,0,5,4,1,1,5,4,1,0
7732,0,4,0,4,3,1,4,4,4,4,3,1,1,0
7763,1,4,0,4,3,1,1,1,4,2,1,0,0,1
7782,0,4,1,4,3,0,4,4,2,5,5,3,0,1
7789,0,4,0,4,4,1,3,3,4,4,2,3,0,1
7794,1,4,1,4,3,1,4,3,4,4,3,4,1,0
7795,0,4,1,4,3,0,4,5,3,4,5,4,0,1
7800,1,4,0,3,4,1,3,3,3,3,3,5,1,0
7810,0,4,1,4,5,0,4,5,3,3,4,3,0,1
7826,0,4,0,4,4,0,2,1,4,4,4,3,0,1
7828,1,4,0,4,3,1,4,5,2,2,4,2,1,0
7837,0,4,1,4,3,0,1,3,2,2,2,5,1,0
7872,1,4,0,4,5,1,4,5,1,1,4,4,1,0
7882,1,4,0,3,5,1,4,4,2,2,3,2,0,1
7951,0,4,1,4,4,0,4,5,1,1,3,4,0,1
7965,1,4,0,5,5,1,4,5,5,5,5,4,0,1
7969,1,4,0,4,3,1,5,4,4,4,5,3,0,1
7988,0,4,1,4,4,1,4,4,2,2,4,3,1,0
8027,1,4,0,4,3,1,4,4,2,2,3,3,0,1
8070,1,4,0,4,4,1,5,4,4,4,4,3,1,0
8124,0,4,0,4,4,0,4,4,4,4,4,4,0,1
8141,0,4,1,4,4,0,4,5,4,4,5,2,1,0
8151,1,4,0,4,4,1,2,2,2,2,2,2,1,0
8154,0,4,1,4,4,1,4,4,1,1,5,3,1,0
8183,0,3,0,4,2,0,1,3,4,4,1,1,0,1
8211,0,3,0,4,4,1,3,3,3,3,3,3,1,0
8216,0,2,0,2,3,2,2,2,1,1,4,2,1,0
8260,1,4,0,4,1,1,5,4,2,2,4,3,1,0
8267,0,3,1,3,1,0,5,1,4,4,1,2,1,0
8317,0,4,0,3,1,0,4,4,4,4,4,4,1,0
8323,0,4,0,4,4,2,3,3,3,4,3,1,0,1
8326,0,4,0,4,1,1,3,4,4,4,3,4,1,0
8341,0,2,0,2,4,1,1,2,2,2,1,5,0,1
8366,0,4,0,1,1,0,4,4,3,2,4,4,1,0
8373,1,4,1,4,3,1,3,3,4,4,4,2,0,1
8377,1,4,0,4,1,1,5,3,2,2,5,3,1,0
8422,0,4,1,4,5,0,4,4,1,1,5,3,1,0
8423,0,4,1,4,5,1,4,4,2,2,4,5,0,1
8427,1,4,0,4,4,1,5,4,5,5,4,5,1,0
8438,0,1,0,1,4,0,3,3,4,4,3,2,0,1
8454,0,4,1,4,3,1,4,4,1,1,3,4,1,0
8459,1,4,0,4,1,1,4,3,2,2,1,5,0,1
8460,0,3,1,3,3,0,5,5,5,5,5,4,0,1
8484,0,4,1,4,3,0,4,4,2,4,4,3,1,0
8489,0,3,0,3,3,1,4,3,3,3,3,2,1,0
8490,0,4,0,4,2,0,4,3,4,4,3,5,1,0
