,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_AdaBoost
1822,1,3,0,5,3,0,5,5,3,4,5,2,0,1
1829,1,0,0,0,2,1,4,4,5,5,3,1,1,0
1832,1,3,0,5,5,1,5,4,5,5,4,4,0,1
1844,1,4,0,5,3,1,2,2,4,5,2,4,1,0
1862,0,4,0,2,4,0,4,4,3,3,4,4,0,1
1867,1,4,0,4,3,1,4,3,2,2,4,3,1,0
1885,0,3,1,4,5,1,5,5,3,3,5,5,0,1
1886,1,0,0,0,3,1,2,2,1,1,3,3,1,0
1887,0,1,0,4,4,0,2,1,3,2,2,2,0,1
1893,0,2,0,4,3,0,2,2,4,4,2,2,0,1
1910,0,4,1,1,1,1,4,3,1,1,5,3,1,0
1936,0,3,0,4,3,0,3,3,3,2,3,3,0,1
1937,0,2,0,4,2,0,2,2,4,3,2,2,0,1
1949,1,4,0,5,5,1,4,4,5,4,4,4,0,1
1956,0,1,0,4,2,0,1,1,3,3,1,1,0,1
1958,0,2,0,4,4,0,2,2,4,1,2,2,0,1
1978,0,2,0,4,2,0,2,2,3,3,2,2,0,1
1993,0,4,1,4,3,0,4,4,3,3,3,4,0,1
1996,0,3,0,4,3,0,3,3,4,3,3,3,0,1
1998,1,4,0,4,1,1,3,2,2,2,3,2,1,0
2024,0,4,1,4,2,1,2,3,3,3,3,4,1,0
2033,1,4,0,4,5,1,4,5,2,2,5,2,1,0
2062,0,4,1,4,3,0,5,5,3,4,4,5,0,1
2072,1,4,0,4,1,1,2,4,3,3,3,2,1,0
2090,0,3,0,2,5,0,3,3,2,3,3,3,1,0
2094,0,4,0,4,4,1,1,2,4,4,4,2,0,1
2129,0,3,1,3,5,0,4,5,2,2,3,4,1,0
2133,0,3,0,4,1,0,3,3,4,1,3,3,0,1
2151,0,4,1,4,1,1,2,2,4,4,5,1,1,0
2153,0,4,0,1,2,0,2,2,3,2,2,2,1,0
2156,0,2,0,3,5,0,5,4,3,3,5,2,1,0
2173,0,2,0,2,4,0,3,3,5,2,3,4,1,0
2174,0,4,0,4,2,1,4,3,4,4,2,3,1,0
2190,1,4,0,4,3,1,4,4,3,3,5,4,1,0
2197,0,4,0,4,4,2,2,2,3,4,3,3,1,0
2199,1,3,0,5,5,1,5,2,4,4,5,5,0,1
2201,0,4,1,3,3,0,3,3,2,1,3,4,1,0
2205,0,5,0,4,4,0,3,2,5,5,3,1,0,1
2209,1,4,0,5,3,1,2,3,5,3,2,4,1,0
2231,0,4,1,4,4,0,4,4,4,3,3,4,0,1
2244,0,3,0,4,2,0,3,3,4,4,3,3,0,1
2253,0,4,0,4,1,1,2,2,4,4,2,5,0,1
2259,1,4,0,4,2,1,4,4,5,3,1,4,1,0
2275,0,4,0,4,3,0,4,4,4,4,3,3,0,1
2280,1,0,0,0,2,1,3,3,3,4,2,3,1,0
2287,0,4,0,3,3,0,4,3,4,3,2,4,0,1
2302,0,4,0,4,2,0,3,3,4,4,2,5,0,1
2304,0,2,0,4,1,0,2,2,4,1,2,2,0,1
2309,0,4,1,4,4,0,5,5,4,4,3,3,0,1
2319,1,4,0,0,3,2,5,4,5,3,5,4,1,0
2334,1,0,0,0,2,2,4,3,3,3,2,1,1,0
2346,0,4,1,4,3,0,4,4,1,1,4,4,0,1
2374,0,2,0,4,3,0,2,2,4,3,2,2,0,1
2375,1,5,0,3,4,1,1,1,3,3,1,5,1,0
2410,0,1,0,4,3,0,1,1,3,3,1,1,0,1
2411,0,3,0,3,5,0,5,5,3,3,5,2,1,0
2419,0,4,1,2,2,1,5,3,2,2,1,4,1,0
2422,1,4,0,4,4,1,4,4,4,4,3,3,1,0
2428,1,4,0,5,5,0,5,5,4,4,5,4,0,1
2437,0,4,0,2,2,0,4,4,3,3,4,4,0,1
2440,0,4,0,4,2,1,1,3,4,4,2,2,1,0
2462,1,4,0,4,3,1,5,4,1,3,3,2,1,0
2463,0,3,0,4,2,0,3,3,4,2,3,3,0,1
2471,0,3,0,3,1,0,1,1,5,3,1,2,1,0
2472,0,4,0,4,1,0,4,4,3,2,4,4,0,1
2474,0,4,0,3,2,0,4,4,3,4,4,4,0,1
2488,0,4,0,4,3,1,3,2,4,4,3,5,0,1
2495,0,4,0,1,4,2,3,3,4,5,3,4,1,0
2503,0,2,0,2,5,1,2,2,2,2,1,1,1,0
2506,1,4,0,4,5,1,4,4,3,3,5,2,1,0
2509,0,4,1,4,3,1,4,5,2,2,4,5,0,1
2515,0,4,0,3,3,0,4,4,3,4,4,4,0,1
2518,0,4,1,4,3,1,4,5,5,5,5,2,1,0
2533,0,4,0,3,4,0,3,1,3,3,4,2,1,0
2536,0,4,0,4,4,2,4,4,4,2,4,4,0,1
2543,0,4,0,3,3,0,4,4,3,1,4,4,0,1
2570,0,2,0,4,4,0,2,2,4,2,2,2,0,1
2604,1,4,0,4,4,1,5,5,5,5,4,5,0,1
2621,0,3,0,4,3,0,3,3,3,2,3,3,0,1
2632,0,4,0,4,3,1,4,2,4,4,3,3,1,0
2644,0,3,0,3,2,1,4,4,3,3,5,4,1,0
2660,0,4,0,4,1,0,3,3,4,4,2,1,0,1
2664,1,4,0,5,5,0,4,3,5,5,2,3,0,1
2680,0,3,0,3,4,0,4,4,4,3,4,4,1,0
2686,0,4,1,4,5,0,5,5,1,1,3,4,0,1
2702,1,4,0,5,4,1,3,3,5,5,3,4,1,0
2706,1,4,0,4,4,2,4,4,3,3,4,3,1,0
2719,0,5,0,4,3,0,3,4,5,5,4,4,0,1
2720,0,4,1,4,4,1,2,2,1,3,4,4,0,1
2725,0,1,0,4,2,0,1,1,4,4,1,1,0,1
2733,1,4,0,4,1,1,3,2,2,2,2,1,1,0
2750,0,3,0,4,3,0,3,3,3,3,3,3,0,1
2768,0,4,0,3,4,0,2,2,3,5,2,3,1,0
2773,0,4,1,4,3,0,5,5,5,5,3,3,0,1
2777,0,1,0,2,4,0,4,4,2,2,5,3,1,0
2811,0,2,0,3,3,1,1,5,2,2,1,4,1,0
2817,1,4,0,4,5,1,5,4,3,3,3,3,1,0
2821,0,1,1,4,4,0,1,1,4,4,4,4,0,1
2823,1,4,0,4,3,1,3,3,4,4,1,1,1,0
2856,0,4,0,1,1,1,4,4,3,2,4,4,1,0
2858,0,4,1,4,5,1,4,4,1,1,5,2,1,0
2859,0,1,0,4,4,0,1,1,4,4,1,2,0,1
2862,0,3,0,4,2,0,3,3,3,2,3,3,0,1
2869,0,4,1,4,4,0,5,4,2,3,3,3,1,0
2895,0,3,0,4,3,0,3,3,4,3,3,3,0,1
2906,0,4,0,1,3,1,4,4,4,3,4,4,1,0
2926,0,2,0,2,2,1,5,4,2,2,5,3,1,0
2948,0,4,0,4,2,0,4,2,4,4,1,5,0,1
2963,0,3,0,4,4,0,3,3,3,2,3,3,0,1
2965,0,4,1,4,5,0,4,5,5,3,5,2,0,1
2989,0,4,0,2,3,0,4,4,2,2,4,4,0,1
3005,0,4,1,4,1,1,3,1,1,3,5,2,1,0
3023,1,5,0,0,1,1,3,4,1,1,2,2,1,0
3033,0,4,1,3,3,0,4,5,3,4,5,4,1,0
3041,1,4,0,4,3,1,4,4,4,1,5,2,1,0
3054,0,2,0,4,2,0,2,2,4,1,2,2,0,1
3097,0,4,0,3,3,0,3,3,1,3,3,3,1,0
3099,0,4,1,4,5,0,5,4,3,3,5,4,0,1
3111,1,2,0,5,5,0,4,4,5,1,4,2,0,1
3113,0,1,0,3,5,0,4,4,3,3,4,2,1,0
3124,1,0,0,2,3,2,2,2,4,2,2,0,1,0
3129,0,4,1,4,3,1,4,3,2,2,4,4,0,1
3132,0,2,0,4,2,0,2,2,4,1,2,2,0,1
3136,1,4,0,4,1,1,2,4,3,3,5,2,1,0
3138,0,3,0,3,4,0,2,2,3,3,2,2,1,0
3142,0,3,0,3,3,2,1,2,3,3,4,3,1,0
3144,0,4,0,4,4,1,3,2,4,4,2,1,1,0
3157,0,2,0,2,1,1,3,3,2,2,4,4,1,0
3168,0,4,0,3,1,0,4,4,3,3,4,4,0,1
3171,0,4,0,3,4,0,4,4,3,4,4,4,0,1
3179,0,1,0,4,4,0,1,1,4,2,1,1,0,1
3185,0,4,0,3,3,0,4,4,4,3,4,4,0,1
3191,0,4,0,2,5,2,4,4,2,3,4,4,1,0
3209,0,2,0,4,2,0,2,2,3,4,2,2,0,1
3223,0,2,0,4,4,0,2,2,3,1,2,2,0,1
3229,0,4,1,4,3,0,4,4,4,4,3,3,1,0
3236,0,2,0,1,2,0,4,4,4,2,4,4,1,0
3257,0,4,0,3,2,2,4,4,5,5,4,4,1,0
3278,0,3,0,4,1,0,3,3,4,1,3,3,0,1
3283,0,1,0,4,2,0,1,1,4,4,1,1,0,1
3284,1,5,0,3,2,1,1,1,3,1,1,5,1,0
3286,1,0,0,0,3,1,3,4,2,5,3,2,1,0
3287,0,4,1,4,3,0,4,4,3,4,3,2,1,0
3289,0,2,0,4,3,0,2,2,4,3,2,2,0,1
3302,0,4,1,4,4,1,4,3,1,2,1,3,1,0
3303,0,2,0,4,2,0,2,2,4,2,2,2,0,1
3322,1,4,0,4,4,1,3,3,5,5,2,3,1,0
3330,1,4,0,4,4,1,4,5,3,3,3,5,1,0
3333,1,4,0,3,3,2,4,4,4,3,4,4,1,0
3337,1,4,0,4,5,1,4,4,4,2,5,5,1,0
3342,0,4,0,2,1,0,4,4,3,2,4,4,0,1
3352,0,3,0,3,5,0,2,2,4,4,2,2,1,0
3369,1,4,0,4,2,1,4,3,3,3,4,2,1,0
3386,1,3,0,5,5,1,4,4,5,5,4,4,0,1
3389,0,1,0,4,1,0,1,1,3,1,1,1,0,1
3390,1,4,0,5,5,1,5,5,4,5,5,4,0,1
3395,0,2,0,2,4,2,4,1,3,3,1,5,1,0
3409,0,4,0,3,1,0,4,4,3,3,4,4,0,1
3418,0,5,0,4,2,1,4,3,5,5,4,1,0,1
3422,0,4,0,3,1,0,4,4,3,1,4,4,0,1
3444,0,2,0,4,3,0,2,2,3,1,2,2,0,1
3471,1,4,0,0,4,1,4,4,3,3,3,5,1,0
3493,0,1,0,3,5,0,4,5,4,4,3,3,1,0
3494,0,3,0,4,2,0,3,3,4,2,3,3,0,1
3498,0,4,0,4,4,1,1,3,4,4,3,4,0,1
3500,1,4,0,5,3,1,4,4,4,4,4,4,0,1
3507,0,3,0,4,2,0,3,3,3,1,3,3,0,1
3508,0,2,0,4,2,0,2,2,3,4,2,2,0,1
3510,0,1,0,4,2,0,1,1,4,1,1,1,0,1
3543,0,4,1,3,5,1,4,4,2,2,4,5,1,0
3555,0,4,0,4,2,1,4,4,4,2,4,4,0,1
3560,0,4,0,3,5,0,3,3,5,4,3,3,1,0
3565,0,1,0,4,4,0,1,1,4,3,1,1,0,1
3567,0,3,0,4,4,0,3,3,4,4,3,3,0,1
3576,0,2,0,4,4,0,2,2,3,2,2,2,0,1
3582,0,4,0,4,3,1,2,4,4,4,3,2,1,0
3614,0,4,0,1,4,2,4,4,3,4,4,4,1,0
3651,0,4,0,4,2,0,2,1,4,4,1,1,0,1
3652,0,2,0,3,1,0,1,3,3,3,1,1,1,0
3663,0,4,0,4,1,0,4,4,4,2,4,3,0,1
3673,0,4,0,3,2,0,4,4,3,2,4,4,0,1
3676,1,4,0,5,5,1,2,2,4,4,2,5,0,1
3682,0,3,0,4,3,0,3,3,4,2,3,3,0,1
3685,0,2,0,4,2,0,2,2,4,4,2,2,0,1
3691,0,4,1,4,5,0,4,5,5,4,4,4,0,1
3722,0,2,0,2,2,1,3,4,2,2,4,1,1,0
3723,0,3,0,4,4,1,5,1,5,3,2,3,1,0
3727,0,2,0,1,5,0,2,2,2,5,2,2,1,0
3734,0,4,1,4,3,1,5,1,5,5,2,4,0,1
3746,0,3,0,4,4,0,3,3,4,1,3,3,0,1
3747,0,4,0,4,4,1,4,4,3,3,4,4,0,1
3748,0,1,0,4,1,0,1,1,4,1,1,1,0,1
3769,0,3,0,4,1,0,3,3,4,3,3,2,0,1
3774,0,3,0,4,4,0,3,3,3,3,3,3,0,1
3800,0,4,1,4,2,1,2,4,1,1,1,4,1,0
3806,0,3,0,4,4,0,3,3,4,3,3,3,0,1
3809,0,4,0,4,4,0,4,3,4,4,3,5,0,1
3823,0,4,0,2,2,1,4,4,5,4,4,4,1,0
3853,0,1,0,4,4,0,1,1,3,2,1,1,0,1
3863,1,4,0,5,5,1,3,5,5,5,3,5,0,1
3869,0,2,0,1,2,0,4,4,1,4,4,4,1,0
3878,0,2,0,4,3,0,2,2,4,4,2,2,0,1
3897,0,4,0,4,2,1,1,4,4,4,2,1,1,0
3918,0,2,1,2,5,0,5,5,4,4,3,2,1,0
3937,1,2,0,5,3,1,5,5,5,4,5,4,0,1
3938,0,4,0,2,1,1,5,5,3,4,5,4,0,1
3944,0,3,0,4,2,1,4,4,3,3,2,1,1,0
3951,0,4,0,4,4,1,4,4,4,4,5,3,0,1
3978,0,3,0,3,4,1,3,2,3,3,4,2,1,0
3982,1,4,0,4,2,1,3,4,3,3,4,4,1,0
3996,0,4,1,4,4,0,5,5,3,3,5,4,0,1
3998,0,5,1,0,4,1,4,5,1,1,3,4,1,0
4007,0,1,0,4,3,0,1,1,3,1,1,1,0,1
4038,0,4,0,4,2,2,4,3,4,4,4,1,0,1
4039,0,4,0,4,2,1,4,4,3,1,4,4,0,1
4052,0,2,0,2,5,0,4,3,2,2,5,2,1,0
4061,0,4,1,4,4,0,5,4,2,2,3,2,1,0
4063,0,1,0,3,2,0,4,4,2,4,4,4,1,0
4066,0,2,0,1,2,0,2,2,2,3,2,2,1,0
4089,1,3,0,5,5,1,3,5,5,5,5,4,0,1
4090,0,4,0,4,3,1,4,3,4,4,2,4,0,1
4099,0,4,0,1,5,1,4,4,1,4,4,4,1,0
4122,0,4,0,3,4,0,4,4,4,3,4,4,0,1
4138,0,3,0,1,4,1,4,4,1,4,4,3,1,0
4142,0,2,0,4,3,0,2,2,3,1,2,2,0,1
4144,0,4,0,3,3,0,4,4,4,4,4,4,0,1
4153,0,3,0,3,3,0,3,1,3,3,5,1,1,0
4166,0,2,0,4,1,0,2,2,3,4,2,2,0,1
4178,0,4,1,5,1,1,1,5,4,4,1,1,1,0
4184,1,4,0,4,3,1,4,3,4,4,3,1,1,0
4194,0,1,0,4,1,0,1,1,4,2,1,2,0,1
4209,1,4,0,5,4,1,5,5,4,3,5,4,0,1
4226,0,4,0,3,4,0,4,4,4,2,4,4,0,1
4234,0,4,0,4,4,0,3,4,4,4,2,5,0,1
4252,0,4,0,4,4,1,3,3,2,4,4,4,0,1
4254,0,3,0,4,3,0,3,3,4,1,3,3,0,1
4265,0,4,1,4,5,0,4,4,3,3,3,3,1,0
4268,1,4,0,5,3,1,5,5,1,1,3,4,0,1
4279,0,4,0,4,3,0,4,4,3,2,4,4,0,1
4301,0,1,0,4,2,0,2,2,3,2,2,0,0,1
4304,0,4,0,4,2,0,4,4,3,2,4,4,0,1
4306,0,3,0,2,3,0,5,4,2,2,3,4,1,0
4313,0,4,1,3,4,0,4,5,5,5,5,4,1,0
4316,1,1,0,5,5,1,4,4,5,3,4,5,0,1
4324,1,4,0,4,4,1,4,3,1,1,5,2,1,0
4336,0,4,1,4,5,1,5,5,2,4,5,4,0,1
4337,0,3,0,3,2,2,2,4,3,3,2,3,1,0
4375,1,4,0,2,4,1,5,2,3,3,3,1,1,0
4414,0,2,0,4,3,0,2,2,4,2,2,2,0,1
4417,0,2,0,2,4,1,4,4,1,1,5,1,1,0
4430,0,3,0,4,3,0,3,3,3,4,3,3,0,1
4435,0,3,0,3,4,1,4,4,3,3,3,2,1,0
4445,1,1,0,5,4,0,5,5,4,4,5,1,0,1
4505,0,1,0,4,1,0,1,1,3,1,1,1,0,1
4530,0,4,1,4,2,1,5,5,5,5,5,4,0,1
4531,0,1,0,4,3,0,1,1,4,2,1,1,0,1
4546,0,4,1,4,5,0,5,5,5,5,5,2,0,1
4563,0,3,0,4,4,0,2,3,4,3,2,2,0,1
4564,0,4,1,4,5,1,5,4,5,5,3,3,1,0
4585,0,2,0,2,4,1,5,3,2,2,3,2,1,0
4586,1,4,0,4,5,1,5,5,3,3,4,5,0,1
4594,1,4,0,4,3,2,4,4,3,3,4,4,1,0
4600,0,4,1,4,3,1,2,3,2,2,1,5,1,0
4619,0,4,0,4,3,0,4,4,3,3,4,4,0,1
4620,1,4,0,4,5,1,4,5,3,3,1,4,1,0
4624,0,4,1,4,3,1,5,4,2,2,4,2,1,0
4631,0,4,0,4,4,0,4,3,4,4,1,4,0,1
4632,0,4,0,3,1,0,4,4,4,2,4,4,0,1
4666,0,4,1,5,3,1,3,3,1,1,1,3,1,0
4682,0,4,0,3,4,0,4,4,4,3,4,4,0,1
4689,0,4,0,1,2,0,4,4,2,1,4,4,0,1
4711,0,2,0,2,2,2,4,1,2,2,4,4,1,0
4734,1,5,0,3,2,1,5,5,4,3,5,5,1,0
4760,0,4,0,3,5,2,4,4,1,3,4,4,1,0
